map_name	feature_name	feature_start	feature_stop	feature_alt_name	feature_type
1	bnl(tas1h)	0		pBF266	Marker
1	bnl(tas1c)	15.3		pBF266	Marker
1	cdo1081a	27.7		cdo1081	Marker
1	bnl5.62a	27.7		bnl5.62	Marker
1	umc94a	27.7		umc94	Marker
1	bnl8.05a	27.7		bnl8.05	Marker
1	npi97a	40.4		npi97	Marker
1	cat2	40.4		CL1739_1	Marker
1	cdo20a	40.4		cdo20	Marker
1	uaz260b(rpL5)	40.4		5C05D07	Marker
1	umc157(chn)	46.5		umc157	Marker
1	npi406	46.5		G21A-09	Marker
1	csic(rab30)	46.5		rab30	Marker
1	npi415	46.5		G22D-03	Marker
1	npi579b	46.5		G25F-07	Marker
1	uaz2a	46.5		2C02B05	Marker
1	pds1	53.7		umc1070	Marker
1	npi411b	54.7		G21G-12	Marker
1	npi423	57.4		G22E-05	Marker
1	npi209b	57.4		G4C07	Marker
1	npi109a	57.4		G6B-05	Marker
1	npi403b	59.3		G22B-01	Marker
1	bnl9.13	59.9		bnl9.13	Marker
1	uaz1	59.9		2C04C03	Marker
1	bnlg109	59.9		bnlg109	Marker
1	umc76	63.9		umc76	Marker
1	bnl35d(blr)	64.8	71.4	bnl35	Marker
1	npi439a	67.7		G22H-12	Marker
1	cdo1387b(emp70)	67.7		cdo1387	Marker
1	npi234a	70.5		npi234	Marker
1	npi241b	70.5		npi241B	Marker
1	umc11a	70.5		umc11	Marker
1	bnl10.38a	70.5		bnl10.38	Marker
1	ibp2	73.5		clone9	Marker
1	bnl1.326a	73.5		bnl1.326	Marker
1	wusl1032	78.1		pZmL1032	Marker
1	bnlg439	78.1		bnlg439	Marker
1	npi242b	78.1		G20E-07	Marker
1	npi448	78.1		G23E-03	Marker
1	umc8a	78.1		umc8	Marker
1	umc13	83.5		umc13	Marker
1	pdc3	83.5		pdc3	Marker
1	npi427b	83.5		G22E-08	Marker
1	rz672a(cgs)	86.2		rz672	Marker
1	pge(phyB1)	86.2		cphyB1	Marker
1	cdo938a	86.2		cdo938	Marker
1	cdo38a(ntp)	86.2		cdo38	Marker
1	bnl12.06a	86.2		bnl12.06	Marker
1	lpe1	86.2		pBMP-TA69R	Marker
1	hcf3	86.2		EN22pcr	Marker
1	p1	86.2		VB.2	Marker
1	npi286	86.2		npi286	Marker
1	npi(sod4)	86.2		SOD-4	Marker
1	bnl2.323	93.7		bnl2.323	Marker
1	npi453	108.1		G23B-12	Marker
1	rz500(stp)	108.1		rz500	Marker
1	uaz248a(his3)	108.1		5C03H09	Marker
1	bnl7.21a	108.1		bnl7.21	Marker
1	npi262	108.1		npi262	Marker
1	bnl1.556	114.5		bnl1.556	Marker
1	uaz9	114.5		2C06B01	Marker
1	cdo344c(rga)	114.5		cdo344	Marker
1	uaz7a	114.5		SPF31	Marker
1	rz323a	114.5		rz323	Marker
1	uaz5	114.5		5C06F03	Marker
1	rz421	114.5		rz421	Marker
1	uaz6	114.5		2C01H07	Marker
1	uaz13	114.5		2C01D12	Marker
1	rz296a	114.5		rz296	Marker
1	npi401	117		G21C-09	Marker
1	npi214	117		G1C-03	Marker
1	npi598	117		G25D-06	Marker
1	uaz4	117		2C04B10	Marker
1	npi304	117		C5A-08	Marker
1	umc67a	122.2		umc67	Marker
1	ucsd61a	122.2		ucsd61	Marker
1	npi279	122.2		G21A-05	Marker
1	uaz17a	122.2		2C02H02	Marker
1	cent1	124	136	MCS1a	Centromere
1	bnl5.59	125.8		bnl5.59	Marker
1	npi272	125.8		G22C-05	Marker
1	npi258	125.8		G20E-10	Marker
1	npi429	125.8		npi429	Marker
1	csu60b	128.3		csu60	Marker
1	cdo464a	128.3		cdo464	Marker
1	dup382	128.3		dup382	Marker
1	uaz15	128.3		2C01H09	Marker
1	uaz14a	128.3		2C02F02	Marker
1	cdo475b	130.8		cdo475	Marker
1	uaz249a(ubf9)	130.8		5C02D01	Marker
1	uwo2	130.8		sdp	Marker
1	cdo595	130.8		cdo595	Marker
1	ucsd72a	130.8		ucsd72	Marker
1	umc82b	130.8		umc82	Marker
1	cdo116a	134		cdo116	Marker
1	umc58	134		umc58	Marker
1	umc119	134		umc119	Marker
1	rz28a	134		rz28	Marker
1	wsu(nia4)	143.7		pGA873	Marker
1	uaz18d	143.7		2C01F04	Marker
1	npi224g	143.7		npi224	Marker
1	bcd98a	157.1		bcd98	Marker
1	uaz20a	157.1		2C02B04	Marker
1	uaz19c	157.1		2C02B10	Marker
1	npi566	161.7		G25D-02	Marker
1	npi605a	161.7		G25H-03	Marker
1	umc23a	165.3		umc23	Marker
1	bnlg615	165.3		bnlg615	Marker
1	umc33a	165.3		umc33	Marker
1	uaz228d(his2b)	165.3		5C04D12	Marker
1	uaz151(sar)	168.5		5C03G12	Marker
1	uaz205b(hsp70)	168.5		5C04D01	Marker
1	npi236	168.5		npi236	Marker
1	uaz2b	168.5		2C02B05	Marker
1	bnl17.15b(bt2)	169.7		bt2	Marker
1	cdo94b	173.3		cdo94	Marker
1	bcd207a	173.3		bcd207	Marker
1	bcd386a	173.3		bcd386	Marker
1	rny(pcr)a	176.9		pOR1	Marker
1	npi447a	176.9		G23D-04	Marker
1	umc128	176.9		umc128	Marker
1	bnlg100	176.9		bnlg100	Marker
1	umc37a	177.5		umc37	Marker
1	mdh4	182.1		csu198	Marker
1	ucsd61e	182.1		ucsd61	Marker
1	npi255	182.1		npi255	Marker
1	npi569a	182.1		G25C-10	Marker
1	npi614	182.1		G25A-05	Marker
1	npi573	182.1		G25C-05	Marker
1	npi120	182.1		G8B-09	Marker
1	umc83a	183.3		umc83	Marker
1	bnl17.06	183.3		p7.6-1	Marker
1	dup135a	183.3		dup135	Marker
1	cdo98b	183.3		cdo98	Marker
1	bz2	186.4		bz2pP300	Marker
1	dup103	188.6		dup103	Marker
1	dup218b	193.3		dup218	Marker
1	bnl8.10a	193.3		bnl8.10	Marker
1	umc27b	193.3		umc27	Marker
