map_name	feature_alt_name	feature_start	feature_name	feature_type
1	CDO63	0	CDO63	Marker
1	UAZ104	7.6	UAZ104	Marker
1	NPI97A	13.5	NPI97	Marker
1	UMC157	20.9	UMC157	Marker
1	PDS1	26.6	PDS1	Marker
1	NPI109A	32.4	NPI109	Marker
1	CDO860	35.8	CDO860	Marker
1	CDO189A	42.2	CDO189	Marker
1	ISU40	42.2	ISU40	Marker
1	CDO586	48.5	CDO586	Marker
1	NPI448	53	NPI448	Marker
1	NPI427B	58	NPI427	Marker
1	RZ574	60.6	RZ574	Marker
1	CDO64B	63.1	CDO64	Marker
1	CDO38A	66.5	CDO38	Marker
1	CDO938A	72.5	CDO938	Marker
1	RZ585A	72.5	RZ585	Marker
1	RZ672A	78.4	RZ672	Marker
1	ISU81B	90.4	ISU81	Marker
1	CDO749	98.3	CDO749	Marker
1	RZ323A	100.8	RZ323	Marker
1	CDO103	103.3	CDO103	Marker
1	CDO344C	103.3	CDO344	Marker
1	RZ296A	103.3	RZ296	Marker
1	BCD734B	103.3	BCD734	Marker
1	RZ421	104.5	RZ421	Marker
1	NPI598	105.7	NPI598	Marker
1	NPI429	112.9	NPI429	Marker
1	CDO464A	118.8	CDO464	Marker
1	ISU73	123.2	ISU73	Marker
1	CDO475B	123.2	CDO475	Marker
1	CDO595	123.2	CDO595	Marker
1	CDO116	127.5	CDO116	Marker
1	RZ28A	127.5	RZ28	Marker
1	UMC58	128.6	UMC58	Marker
1	CDO99	156.3	CDO99	Marker
1	NPI605	162.2	NPI605	Marker
1	UMC33A	165.6	UMC33	Marker
1	NPI236	168.9	NPI236	Marker
1	RZ698A	171.1	RZ698	Marker
1	BCD207A	173.3	BCD207	Marker
1	BCD386A	174.4	BCD386	Marker
1	ISU78	174.4	ISU78	Marker
1	NPI573	181.6	NPI573	Marker
1	UMC83A	184.2	UMC83	Marker
1	CDO98B	186.3	CDO98	Marker
1	ISU33B	188.3	ISU33	Marker
1	RZ630E	192.6	RZ630	Marker
1	BNL8.10A	196.9	BNL8.10	Marker
1	IAS7	204.1	IAS7	Marker
1	RZ403	206.9	RZ403	Marker
1	TBP1	209.7	TBP1	Marker
1	BCD1072C	212.7	BCD1072	Marker
1	ISU92B	215.6	ISU92	Marker
1	CDO122A	217.9	CDO122	Marker
1	PHYA1	220.2	PHYA1	Marker
1	RZ912A	220.2	RZ912	Marker
1	BCD808A	220.2	BCD808	Marker
1	CDO246	224.8	CDO246	Marker
1	Adh1	224.8	Adh1	Marker
1	CDO353B	225.9	CDO353	Marker
1	NPI407	228.3	NPI407	Marker
1	NPI581A	233.9	NPI581	Marker
1	BNL17.18B	238	BNL17.18	Marker
1	ISU106A	243	ISU106	Marker
1	PHI1	247.6	PHI1	Marker
1	NPI238	252.3	NPI238	Marker
1	BNL8.29A	257	BNL8.29	Marker
2	BNL(TAS1A)	0	BNL(TAS1A)	Marker
2	CDO36B	3.4	CDO36	Marker
