map_name	feature_name	feature_start	feature_alt_name	feature_type
1	umc1354	0	umc1354	Marker
1	tub1	2.5	tub1	Marker
1	umc1177	10.5	umc1177	Marker
1	umc1566	16.5	umc1566	Marker
1	bnl5.62a	22.7	bnl5.62	Marker
1	mmp102	25.9	mmp102	Marker
1	umc94a	33.1	umc94	Marker
1	lim179	42.4	lim179	Marker
1	mmp49	51.4	mmp49	Marker
1	cdo1081b	53.1	cdo1081	Marker
1	asg31	60.5	asg31	Marker
1	npi415	61.3	npi415	Marker
1	php20537b	64.7	php20537	Marker
1	ufg31	66.9	ufg31	Marker
1	ufg33	67.3	ufg33	Marker
1	ufg32	68.1	ufg32	Marker
1	ufg34	69.7	ufg34	Marker
1	bnlg1014	76.4	bnlg1014	Marker
1	umc1363	77.3	umc1363	Marker
1	umc1071	78.7	umc1071	Marker
1	umc1269	79.7	umc1269	Marker
1	umc1977	82.6	umc1977	Marker
1	php20603	85.1	php20603	Marker
1	rz444c	95.4	rz444	Marker
1	php20689	99.8	php20689	Marker
1	umc1685	101.7	umc1685	Marker
1	mmp93	101.9	mmp93	Marker
1	umc1160	106.9	umc1160	Marker
1	npi579b	110.1	npi579	Marker
1	umc157(chn)	112.7	umc157	Marker
1	bm3	113.6	bm3	Marker
1	mmp68	121.7	mmp68	Marker
1	csu1171	125.5	csu1171	Marker
1	umc1166	131.8	umc1166	Marker
1	umc1568	140	umc1568	Marker
1	bnlg1429	141.7	bnlg1429	Marker
1	php20640	145.1	php20640	Marker
1	lim504	149.8	lim504	Marker
1	umc1976	158.8	umc1976	Marker
1	mmp135	164.2	mmp135	Marker
1	bnlg1127	165.7	bnlg1127	Marker
1	bnlg1953	168.2	bnlg1953	Marker
1	npi403b	182	npi403	Marker
1	umc76	196.6	umc76	Marker
1	cdo1387b(emp70)	199.7	cdo1387	Marker
1	lim122	203.2	lim122	Marker
1	umc1073	206.7	umc1073	Marker
1	umc1403	208.8	umc1403	Marker
1	npi439a	215	npi439	Marker
1	umc230	216.6	umc230	Marker
1	umc11a	217	umc11	Marker
1	mmp66	222.6	mmp66	Marker
1	umc1397	224.6	umc1397	Marker
1	npi242b	233.9	npi242	Marker
1	umc1479	236.2	umc1479	Marker
1	bnlg1203	238.2	bnlg1203	Marker
1	umc1021(fad8)	239.5	umc1021	Marker
1	umc13	242.2	umc13	Marker
1	asg35b	246	asg35	Marker
1	ndp2	254.7	ndp2	Marker
1	mmp133	258.3	mmp133	Marker
1	mmp23	258.3	mmp23	Marker
1	ndp1	260.7	ndp1	Marker
1	bnlg1866	262.2	bnlg1866	Marker
1	umc1598	262.8	umc1598	Marker
1	lim432	264.6	lim432	Marker
1	mmp151a	269.4	mmp151	Marker
1	mmp100	283.6	mmp100	Marker
1	mmp56	293.1	mmp56	Marker
1	cdo938a	295.3	cdo938	Marker
1	bnlg2238	298.9	bnlg2238	Marker
1	umc1849	307.2	umc1849	Marker
1	asg75	308.7	asg75	Marker
1	umc1169	309.7	umc1169	Marker
1	asg30b	312.7	asg30	Marker
1	csu207	321.5	csu207	Marker
1	ufg13b	331.2	ufg13	Marker
1	ufg77	335	ufg77	Marker
1	isu041b	338.9	isu041	Marker
1	isu061b	340.9	isu061	Marker
1	ufg43	345.8	ufg43	Marker
1	bnlg1811	348.6	bnlg1811	Marker
1	bnl9.11b(lts)	353	bnl9.11	Marker
1	bnlg2295	360.4	bnlg2295	Marker
1	asg3	364.1	asg3	Marker
1	csu3	367.2	csu3	Marker
1	mmp61	374.8	mmp61	Marker
1	lim497	375.9	lim497	Marker
1	umc2025	379.2	umc2025	Marker
1	mmp39	387.4	mmp39	Marker
1	umc1515	393	umc1515	Marker
1	uaz246c(mbf)	397.7	uaz246	Marker
1	mmp143	399.4	mmp143	Marker
1	csu1138	400.6	csu1138	Marker
1	umc1076	401.7	umc1076	Marker
1	mmp101	402.8	mmp101	Marker
1	umc1676	404.9	umc1676	Marker
1	umc1703	407.8	umc1703	Marker
1	umc1124(rs2)	410.9	umc1124	Marker
1	cdo344c(rga)	414.5	cdo344	Marker
1	umc1906	420.8	umc1906	Marker
1	mmp124	423.1	mmp124	Marker
1	umc1395	424.3	umc1395	Marker
1	umc1321	426.1	umc1321	Marker
1	umc1601	426.7	umc1601	Marker
1	umc1603	428.3	umc1603	Marker
1	hac101b	434.1	hac101	Marker
1	uaz276	438.1	uaz276	Marker
1	umc67a	448.8	umc67	Marker
1	isu146	453.4	isu146	Marker
1	umc1972	455.5	umc1972	Marker
1	myb6	466.9	myb6	Marker
1	umc1590	469.2	umc1590	Marker
1	bnl5.59	472.6	bnl5.59	Marker
1	php20654	475.4	php20654	Marker
1	asg58	477.5	asg58	Marker
1	umc1811	478.3	umc1811	Marker
1	bnlg2057	479.4	bnlg2057	Marker
1	bnlg1598	484.6	bnlg1598	Marker
1	umc1123	487.3	umc1123	Marker
1	mmp156	495.7	mmp156	Marker
1	umc1396	500.5	umc1396	Marker
1	umc1748	505.2	umc1748	Marker
1	umc1919	507.6	umc1919	Marker
1	bnlg1615	509.4	bnlg1615	Marker
1	psr152a	511.6	psr152	Marker
1	umc2151	515.7	umc2151	Marker
1	ntf1	522.6	ntf1	Marker
