map_name	feature_name	feature_start	feature_alt_name	feature_type
A	BCD15	23.5	BCD15	Marker
A	BCD200	48.7	BCD200	Marker
A	BCD342	108.7	BCD342	Marker
A	BCD386	48.7	BCD386	Marker
A	BCD454	50.5	BCD454	Marker
A	BCD719	50.5	BCD719	Marker
A	BCD896	51.6	BCD896	Marker
A	BCD929.A	114.8	BCD929	Marker
A	BCD946	56.2	BCD946	Marker
A	BCD1072	48.7	BCD1072	Marker
A	BCD1095	106.4	BCD1095	Marker
A	BCD1119	61.4	BCD1119	Marker
A	BCD1150	56.2	BCD1150	Marker
A	BCD1261	81.4	BCD1261	Marker
A	BCD1340	35.2	BCD1340	Marker
A	BCD1405	51.6	BCD1405	Marker
A	BCD1449	50.5	BCD1449	Marker
A	BCD1562	75	BCD1562	Marker
A	BCD1700	92.8	BCD1700	Marker
A	BCD1871	48.7	BCD1871	Marker
A	BCD1964	50.5	BCD1964	Marker
A	CDO82	50.5	CDO82	Marker
A	CDO98	48.7	CDO98	Marker
A	CDO109	96.6	CDO109	Marker
A	CDO202	84.2	CDO202	Marker
A	CDO216	117.8	CDO216	Marker
A	CDO220	50.5	CDO220	Marker
A	CDO270	96.6	CDO270	Marker
A	CDO312	52.7	CDO312	Marker
A	CDO346	78.2	CDO346	Marker
A	CDO353.A	35.2	CDO353	Marker
A	CDO393	86.8	CDO393	Marker
A	CDO395.A	112.2	CDO395	Marker
A	CDO426.A	48.7	CDO426	Marker
A	CDO442.A	61.4	CDO442	Marker
A	CDO476	96.6	CDO476	Marker
A	CDO520.A	46.9	CDO520	Marker
A	CDO564	51.1	CDO564	Marker
A	CDO580	46.9	CDO580	Marker
A	CDO590	56.2	CDO590	Marker
A	CDO598	50.5	CDO598	Marker
A	CDO618	48.7	CDO618	Marker
A	CDO718	23.5	CDO718	Marker
A	CDO949	51.6	CDO949	Marker
A	CDO1173.1	46.9	CDO1173	Marker
A	CDO1173.2	96.6	CDO1173	Marker
A	CDO1423	0	CDO1423	Marker
A	CDO1473	-3	CDO1473	Marker
A	CDO1513	50.5	CDO1513	Marker
A	CDO1519	56.2	CDO1519	Marker
A	CMWG645.A	0.1	CMWG645	Marker
A	CMWG676	70.8	CMWG676	Marker
A	CMWG733	66.5	CMWG733	Marker
A	CMWG800	54.5	CMWG800	Marker
A	KSUD14.A	0	KSUD14	Marker
A	MWG68	-3	MWG68	Marker
A	MWG938	-3	MWG938	Marker
A	RZ244.A	41.1	RZ244	Marker
A	RZ390	11.8	RZ390	Marker
A	RZ500	48.7	RZ500	Marker
A	RZ574	112.2	RZ574	Marker
A	RZ583	41.1	RZ583	Marker
A	RZ892	48.7	RZ892	Marker
A	RZ892	48.7	RZ982	Marker
A	UMN162	5.9	UMN162	Marker
B	BCD92	24.9	BCD92	Marker
B	BCD98.B	-3	BCD98	Marker
B	BCD135	19.3	BCD135	Marker
B	BCD266	17.4	BCD266	Marker
B	BCD348	5.8	BCD348	Marker
B	BCD978	17.4	BCD978	Marker
B	BCD1030	56.5	BCD1030	Marker
B	BCD1237	15.4	BCD1237	Marker
B	BCD1428	51.4	BCD1428	Marker
B	BCD1750	76.3	BCD1750	Marker
B	BCD1819	94.5	BCD1819	Marker
B	BCD1823	76.3	BCD1823	Marker
B	BCD1829.B	44.4	BCD1829	Marker
B	BCD1856	59.9	BCD1856	Marker
B	BCD1882	86	BCD1882	Marker
B	CDO196	77.4	CDO196	Marker
B	CDO244	24.9	CDO244	Marker
B	CDO365	59.9	CDO365	Marker
B	CDO385	59.9	CDO385	Marker
B	CDO395.B	56.5	CDO395	Marker
B	CDO447	5.8	CDO447	Marker
B	CDO456	0	CDO456	Marker
B	CDO524	74	CDO524	Marker
