map_name	feature_name	feature_start	feature_alt_name	feature_type
1	G107	0	G107	Marker
1	RZ543	0.4	RZ543	Marker
1	RG1028	1.3	RG1028	Marker
1	ME7_4	3.9	ME7_4	Marker
1	RM220	5.2	RM220	Marker
1	RG400	2.2	RG400	Marker
1	R1944	2.4	R1944	Marker
1	EM15_8	2.2	EM15_8	Marker
1	G359	1.5	G359	Marker
1	RG140	2.7	RG140	Marker
1	ME2_12	3.9	ME2_12	Marker
1	RG532	5.2	RG532	Marker
1	C955	16.9	C955	Marker
1	R2630	26.7	R2630	Marker
1	RZ444	0.8	RZ444	Marker
1	EM15_2	0.4	EM15_2	Marker
1	C45	2.6	C45	Marker
1	EM18_10	8	EM18_10	Marker
1	ME6_4	5.8	ME6_4	Marker
1	L1087	1.6	L1087	Marker
1	ME6_1c	5.5	ME6_1c	Marker
1	ME9_9	5.8	ME9_9	Marker
1	EMP3_4	1.7	EMP3_4	Marker
1	EAAM17_6	2.9	EAAM17_6	Marker
1	ME8_3	5.3	ME8_3	Marker
1	RG811	2	RG811	Marker
1	ME2_16	1.7	ME2_16	Marker
1	WG110	1	WG110	Marker
1	RG345	23.4	RG345	Marker
1	RG957	10.5	RG957	Marker
1	R2417	6.7	R2417	Marker
1	RM212	11.5	RM212	Marker
1	C813	3.6	C813	Marker
1	ME4_18	4	ME4_18	Marker
1	EM11_11	4.6	EM11_11	Marker
1	RG109	4.8	RG109	Marker
1	ME10_14	4.2	ME10_14	Marker
1	CDO345	5.8	CDO345	Marker
1	RZ909	26.1	RZ909	Marker
1	RM14	8.7	RM14	Marker
2	R1843	0	R1843	Marker
2	ME2_7	27.5	ME2_7	Marker
2	EMP2_7	3.5	EMP2_7	Marker
2	ME4_17	1	ME4_17	Marker
2	RG437	2.5	RG437	Marker
2	ME10_18	6.1	ME10_18	Marker
2	C106	16.3	C106	Marker
2	RG171	3.4	RG171	Marker
2	EM14_4	0.6	EM14_4	Marker
2	RZ386	10.3	RZ386	Marker
2	RG157	0.7	RG157	Marker
2	R26	9.9	R26	Marker
2	EMP2_8	8.9	EMP2_8	Marker
2	RM263	10.7	RM263	Marker
2	R3393	11.7	R3393	Marker
2	RZ58	2.4	RZ58	Marker
2	EM13_3	1.4	EM13_3	Marker
2	RG158	6.5	RG158	Marker
2	C1408	33.4	C1408	Marker
2	C1419	1.7	C1419	Marker
2	EM11_10	15.8	EM11_10	Marker
2	EM18_13	5.4	EM18_13	Marker
2	TGMSP2	10.3	TGMSP2	Marker
2	ME9_7	6.3	ME9_7	Marker
2	K706	22.5	K706	Marker
2	ME2_4	1	ME2_4	Marker
2	R3128	0.3	R3128	Marker
2	ME6_3	7.1	ME6_3	Marker
3	RG104	0	RG104	Marker
3	EM11_9	7.6	EM11_9	Marker
3	CDO20	1.4	CDO20	Marker
3	RG409	5.6	RG409	Marker
3	RG224	6.8	RG224	Marker
3	ME8_1	1.8	ME8_1	Marker
3	C563	4.2	C563	Marker
3	RZ313	0.3	RZ313	Marker
3	EM18_9	5.8	EM18_9	Marker
3	EM17_1	5.2	EM17_1	Marker
3	C63	5.2	C63	Marker
3	RG369	2.7	RG369	Marker
3	EM19_4	9	EM19_4	Marker
3	EM13_1	12.3	EM13_1	Marker
3	R2170	1.5	R2170	Marker
3	RZ672	2.6	RZ672	Marker
3	RG913	12.3	RG913	Marker
3	ME7_6	0.3	ME7_6	Marker
3	EM11_2	1.3	EM11_2	Marker
