map_name	feature_alt_name	feature_start	feature_name	feature_type
1	TRYP	-2.6	TRYP	Marker
1	RZ543	0	RZ543	Marker
1	RG472	7.6	RG472	Marker
1	RG655	12.8	RG655	Marker
1	RZ288	19.6	RZ288	Marker
1	RG246	21.1	RG246	Marker
1	CDO395B	22.7	CDO395	Marker
1	RG400	25.8	RG400	Marker
1	RG147	29	RG147	Marker
1	RG458	29	RG458	Marker
1	RG140	30.3	RG140	Marker
1	RG532	32.4	RG532	Marker
1	CDO187	34	CDO187	Marker
1	CDO328	39.6	CDO328	Marker
1	RG173X	50.7	RG173	Marker
1	RZ449	54.5	RZ449	Marker
1	RZ489	54.5	RZ489	Marker
1	RZ995	57.6	RZ995	Marker
1	RZ382	59.9	RZ382	Marker
1	RG811	63.7	RG811	Marker
1	Amy1B-A	67.9	Amy1B	Marker
1	CDO962	68.8	CDO962	Marker
1	RG108	70.7	RG108	Marker
1	RG146B	73.5	RG146	Marker
1	SalT	74.7	SalT	Marker
1	RZ276	75.9	RZ276	Marker
1	RZ413	77.5	RZ413	Marker
1	CDO348	80.9	CDO348	Marker
1	CDO548	81.8	CDO548	Marker
1	RZ744	86.5	RZ744	Marker
1	CDO920	94	CDO920	Marker
1	BCD134	94	BCD134	Marker
1	RZ776X	109.3	RZ776	Marker
1	RZ154	117.1	RZ154	Marker
1	RG462	118.9	RG462	Marker
1	CDO455	120	CDO455	Marker
1	RG957	121.5	RG957	Marker
1	CDO470	121.5	CDO470	Marker
1	RG345	123.7	RG345	Marker
1	RG780	125.6	RG780	Marker
1	CDO54	127.4	CDO54	Marker
1	BCD828	130.1	BCD828	Marker
1	CDO118	131.3	CDO118	Marker
1	RZ409	131.3	RZ409	Marker
1	CDO1056	131.3	CDO1056	Marker
1	RZ527	131.9	RZ527	Marker
1	RZ613	132.5	RZ613	Marker
1	RZ19	133.1	RZ19	Marker
1	RZ475	133.7	RZ475	Marker
1	RZ460	134.8	RZ460	Marker
1	RZ252	134.8	RZ252	Marker
1	RG690	134.8	RG690	Marker
1	RZ861	135.3	RZ861	Marker
1	RZ513	135.7	RZ513	Marker
1	RG394	136.2	RG394	Marker
1	RG541	137.7	RG541	Marker
1	RG109X	139.1	RG109	Marker
1	CDO215	139.1	CDO215	Marker
1	CDO345	139.1	CDO345	Marker
1	RZ92	140.1	RZ92	Marker
1	RG727	140.1	RG727	Marker
1	RZ444	140.1	RZ444	Marker
1	RZ739	141.3	RZ739	Marker
1	RZ538	142.5	RZ538	Marker
1	RZ161	143.7	RZ161	Marker
1	RG220	145	RG220	Marker
1	CDO281	146.2	CDO281	Marker
1	RZ909	147.4	RZ909	Marker
1	RZ14	148.6	RZ14	Marker
1	RG381X	148.6	RG381	Marker
1	CDO79	149.9	CDO79	Marker
1	RM200	151.2	RM200	Marker
1	RZ237	152.5	RZ237	Marker
1	RM100	154.1	RM100	Marker
1	RZ730	160.6	RZ730	Marker
1	RZ801	167.7	RZ801	Marker
1	RZ836	171.9	RZ836	Marker
1	RG222	177.4	RG222	Marker
1	RZ825X	181.3	RZ825	Marker
1	RG536	184.5	RG536	Marker
1	RG236	187.6	RG236	Marker
1	RG331	187.6	RG331	Marker
1	RG469	192.2	RG469	Marker
1	RG459	193.7	RG459	Marker
1	RG492	193.7	RG492	Marker
1	RG350	193.7	RG350	Marker
1	CDO394	198.2	CDO394	Marker
1	RZ566	199.8	RZ566	Marker
1	RZ783	201.5	RZ783	Marker
2	CDO524	-6.4	CDO524	Marker
2	RZ742C	-6.4	RZ742	Marker
2	RG555X	0	RG555	Marker
2	cyc2	5.8	cyc2	Marker
2	RZ957	5.8	RZ957	Marker
2	RZ220	11.3	RZ220	Marker
2	BCD349	11.3	BCD349	Marker
2	RZ490	13.7	RZ490	Marker
2	RG365	13.7	RG365	Marker
2	RZ742A	15.5	RZ742	Marker
2	RZ512	16.9	RZ512	Marker
2	RG152	19.8	RG152	Marker
2	CDO196	19.8	CDO196	Marker
2	RZ87	25.5	RZ87	Marker
2	CDO534A	29.3	CDO534	Marker
2	RG144	35.8	RG144	Marker
2	RZ476	39.3	RZ476	Marker
2	RZ599	42.8	RZ599	Marker
