map_name	feature_name	feature_start	feature_alt_name	feature_type
1	RG472	-1.5	RG472	Marker
1	G107	-1.5	G107	Marker
1	TRYP	-1.5	TRYP	Marker
1	RZ543	0	RZ543	Marker
1	CDO460	0	CDO460	Marker
1	RG655	7.7	RG655	Marker
1	UAZ296	15.4	UAZ296	Marker
1	RM428	15.4	RM428	Marker
1	RG246	18.6	RG246	Marker
1	RZ288	18.6	RZ288	Marker
1	CDO395B	19.7	CDO395	Marker
1	RG400	20.25	RG400	Marker
1	UAZ25	20.8	UAZ25	Marker
1	UAZ255	21.35	UAZ255	Marker
1	G359	21.9	G359	Marker
1	CSU75	21.9	CSU75	Marker
1	RG458	23.6	RG458	Marker
1	RG140	23.6	RG140	Marker
1	RG147	23.6	RG147	Marker
1	RG532	25.3	RG532	Marker
1	CDO187	29.3	CDO187	Marker
1	CDO328	33.3	CDO328	Marker
1	ISU39	39.85	ISU39	Marker
1	CSU29	39.85	CSU29	Marker
1	RZ489	39.85	RZ489	Marker
1	RZ382	39.85	RZ382	Marker
1	RZ449	39.85	RZ449	Marker
1	RG173X	39.85	RG173	Marker
1	R210	46.4	R210	Marker
1	ISU110A	48.75	ISU110	Marker
1	RZ995	48.75	RZ995	Marker
1	CDO406	48.75	CDO406	Marker
1	RG811	51.1	RG811	Marker
1	CDO962	53.95	CDO962	Marker
1	RG108	53.95	RG108	Marker
1	RZ274	53.95	RZ274	Marker
1	RZ276	56.8	RZ276	Marker
1	RZ413	56.8	RZ413	Marker
1	SalT	57.85	SalT	Marker
1	RG146B	57.85	RG146	Marker
1	Amy1B	57.85	Amy1B	Marker
1	C178	58.9	C178	Marker
1	CDO348	63.2	CDO348	Marker
1	CDO548	63.2	CDO548	Marker
1	RZ744	63.2	RZ744	Marker
1	CDO920	67.5	CDO920	Marker
1	BCD134	67.5	BCD134	Marker
1	RZ776X	75.7	RZ776	Marker
1	OsMADS2	75.7	OsMADS2	Marker
1	CDO455	83.9	CDO455	Marker
1	RZ154	86.2	RZ154	Marker
1	C122	86.2	C122	Marker
1	CDO470	87.8	CDO470	Marker
1	RM403	87.8	RM403	Marker
1	RG345	89.4	RG345	Marker
1	ISU158A	90.45	ISU158	Marker
1	CDO118	90.45	CDO118	Marker
1	RZ527	90.45	RZ527	Marker
1	CDO1056	90.45	CDO1056	Marker
1	UAZ243A	90.45	UAZ243	Marker
1	CDO54	90.45	CDO54	Marker
1	RZ613	90.45	RZ613	Marker
1	ISU72	91.5	ISU72	Marker
1	CDO1083X	92.55	CDO1083	Marker
1	BCD828	92.55	BCD828	Marker
1	CSU31	92.55	CSU31	Marker
1	CSU58	92.55	CSU58	Marker
1	RZ409	92.55	RZ409	Marker
1	RG780	92.55	RG780	Marker
1	RG690	93.6	RG690	Marker
1	RG462	93.6	RG462	Marker
1	RZ861	94.65	RZ861	Marker
1	RG394	94.65	RG394	Marker
1	RZ460	94.65	RZ460	Marker
1	RZ475	94.65	RZ475	Marker
1	RZ252	94.65	RZ252	Marker
1	RG957	94.65	RG957	Marker
1	RZ513	94.65	RZ513	Marker
1	RG132	94.65	RG132	Marker
1	ISU110B	95.7	ISU110	Marker
1	UAZ174	97.3	UAZ174	Marker
1	ISU38	97.3	ISU38	Marker
1	CSU38	97.3	CSU38	Marker
1	CDO345	97.3	CDO345	Marker
1	RG727	97.3	RG727	Marker
1	RZ161	97.3	RZ161	Marker
1	RZ538	97.3	RZ538	Marker
1	RZ19	97.3	RZ19	Marker
1	RG541	97.3	RG541	Marker
1	RZ444	97.3	RZ444	Marker
1	RZ739	97.3	RZ739	Marker
1	CDO251	97.3	CDO251	Marker
1	RZ278	97.3	RZ278	Marker
1	RG109	97.3	RG109	Marker
1	CDO215	97.3	CDO215	Marker
1	RZ92	97.3	RZ92	Marker
1	GN0370	98.9	GN0370	Marker
1	ISU68	103.8	ISU68	Marker
1	RG220	103.8	RG220	Marker
1	C86	103.8	C86	Marker
1	CDO281	103.8	CDO281	Marker
1	RZ909	103.8	RZ909	Marker
1	RZ14	108.7	RZ14	Marker
1	RM200	112.35	RM200	Marker
1	RZ237	112.35	RZ237	Marker
1	RG381X	112.35	RG381	Marker
1	WG110B	112.35	WG110	Marker
1	CDO79	112.35	CDO79	Marker
1	RN100	112.35	RN100	Marker
1	RZ730	116	RZ730	Marker
1	RZ801	118.4	RZ801	Marker
1	RZ836	119.7	RZ836	Marker
1	RG222	125.85	RG222	Marker
1	RZ825X	125.85	RZ825	Marker
1	RG331	132	RG331	Marker
1	RG236	135.5	RG236	Marker
1	RG350	135.5	RG350	Marker
1	RG469	135.5	RG469	Marker
1	RG536	135.5	RG536	Marker
1	RG492	135.5	RG492	Marker
1	RG459	135.5	RG459	Marker
1	CSU30D	139	CSU30	Marker
1	ISU52	140.1	ISU52	Marker
1	RZ783	140.1	RZ783	Marker
1	UAZ328	143	UAZ328	Marker
1	RZ566	143	RZ566	Marker
1	C112	143	C112	Marker
1	CDO394	143	CDO394	Marker
1	ISU83	145.9	ISU83	Marker
2	ISU61C	0	ISU61	Marker
2	RG555X	0	RG555	Marker
2	ISU134C	6.15	ISU134	Marker
2	RZ220	6.15	RZ220	Marker
2	CYC2	6.15	CYC2	Marker
2	RZ957	6.15	RZ957	Marker
2	RM485	6.15	RM485	Marker
2	BCD349	12.3	BCD349	Marker
2	RG365	15.95	RG365	Marker
2	RZ742A	15.95	RZ742	Marker
2	CDO196	15.95	CDO196	Marker
2	RZ512	15.95	RZ512	Marker
2	RG152	15.95	RG152	Marker
2	ISU113B	19.6	ISU113	Marker
2	G1327	25.3	G1327	Marker
2	RZ87	29.8	RZ87	Marker
2	CDO534A	32.8	CDO534	Marker
2	UAZ118	36.5	UAZ118	Marker
2	RG144	42	RG144	Marker
2	RZ476	47.5	RZ476	Marker
2	RZ599	49.35	RZ599	Marker
2	RM174	51.2	RM174	Marker
2	RG437	53	RG437	Marker
2	RZ643	56.95	RZ643	Marker
2	CSU39	60.9	CSU39	Marker
2	RZ324	61.95	RZ324	Marker
2	GN0243	63	GN0243	Marker
2	ISU44B	63	ISU44	Marker
2	ISU46	64.5	ISU46	Marker
2	UAZ115	66	UAZ115	Marker
2	RG171	69.1	RG171	Marker
2	CDO718	70.8	CDO718	Marker
2	RZ386	72.05	RZ386	Marker
2	CSU30C	73.3	CSU30	Marker
2	BCD1302	76.55	BCD1302	Marker
2	RG157	79.8	RG157	Marker
2	ISU42	91.1	ISU42	Marker
2	RZ876	91.1	RZ876	Marker
2	RZ681	91.1	RZ681	Marker
2	SBEIII	91.1	SBEIII	Marker
2	CDO204	91.1	CDO204	Marker
2	RZ961	91.1	RZ961	Marker
2	RZ701	91.1	RZ701	Marker
2	CDO516	102.4	CDO516	Marker
2	CDO400	102.4	CDO400	Marker
2	CDO32	104.65	CDO32	Marker
2	CDO1380	106.9	CDO1380	Marker
2	RZ166	112.4	RZ166	Marker
2	RZ103	114.55	RZ103	Marker
2	RZ668	114.55	RZ668	Marker
2	G45	114.55	G45	Marker
2	PDSB	114.55	PDSB	Marker
2	RG886	114.55	RG886	Marker
2	RG139	114.55	RG139	Marker
2	UAZ190A	114.55	UAZ190	Marker
2	UAZ128B	116.7	UAZ128	Marker
2	RZ567	116.7	RZ567	Marker
2	ISU112A	116.7	ISU112	Marker
2	ISU97A	116.7	ISU97	Marker
2	UAZ202	116.7	UAZ202	Marker
2	RZ318	116.7	RZ318	Marker
2	RG905	116.9	RG905	Marker
2	CSU100	117.1	CSU100	Marker
2	RZ173	117.3	RZ173	Marker
2	RZ401	117.3	RZ401	Marker
2	CSU84	117.5	CSU84	Marker
2	CDO395A	117.9	CDO395	Marker
2	RG252X	119.3	RG252	Marker
2	RZ58	120.7	RZ58	Marker
2	RZ204	122.1	RZ204	Marker
2	CDO507A	122.1	CDO507	Marker
2	CSU27B	122.1	CSU27	Marker
2	CSU26	122.1	CSU26	Marker
2	UAZ144	124.75	UAZ144	Marker
2	RZ551	124.75	RZ551	Marker
2	RZ273	124.75	RZ273	Marker
2	RZ976	124.75	RZ976	Marker
2	RG73	124.75	RG73	Marker
2	RZ906	124.75	RZ906	Marker
2	ISU13A	127.4	ISU13	Marker
2	ISU132	127.4	ISU132	Marker
2	ISU35A	127.4	ISU35	Marker
2	ISU159A	127.4	ISU159	Marker
2	C601	127.4	C601	Marker
2	RZ260	130.8	RZ260	Marker
2	CSU95A	130.8	CSU95	Marker
2	Amy1A	130.8	Amy1A	Marker
2	CDO686	130.8	CDO686	Marker
2	Amy1C	130.8	Amy1C	Marker
2	RG654	134.2	RG654	Marker
2	RG256	140.7	RG256	Marker
2	CDO1091	140.7	CDO1091	Marker
2	RG151	140.7	RG151	Marker
2	RZ446	147.2	RZ446	Marker
2	BCD880	152.4	BCD880	Marker
2	RZ962	153.45	RZ962	Marker
2	ISU61B	154.5	ISU61	Marker
2	RZ123	157.1	RZ123	Marker
2	RZ913	159.65	RZ913	Marker
2	RZ213	162.2	RZ213	Marker
2	RG322	163.7	RG322	Marker
2	RZ217	163.7	RZ217	Marker
2	RZ531	163.7	RZ531	Marker
2	RG520	163.7	RG520	Marker
2	RZ20X	163.7	RZ20	Marker
3	CDO860	-1.5	CDO860	Marker
3	RG104	-1.5	RG104	Marker
3	CSU60A	-1.5	CSU60	Marker
3	CDO481	-1.5	CDO481	Marker
3	RG409X	-1.5	RG409	Marker
3	C515	0	C515	Marker
3	CSU54	4.3	CSU54	Marker
3	RG348	6.8	RG348	Marker
3	CDO20	6.8	CDO20	Marker
3	RM231	7.4	RM231	Marker
3	G175	7.4	G175	Marker
3	ISU81A	8	ISU81	Marker
3	RZ891	11.1	RZ891	Marker
3	RG944	11.1	RG944	Marker
3	RZ987	11.1	RZ987	Marker
3	RZ329	14.2	RZ329	Marker
3	RZ993X	15.55	RZ993	Marker
3	CSU116	16.9	CSU116	Marker
3	ISU128	18.25	ISU128	Marker
3	CDO1069	18.25	CDO1069	Marker
3	RZ742B	18.25	RZ742	Marker
3	PDSA	18.25	PDSA	Marker
3	RG100	19.6	RG100	Marker
3	RZ545	19.85	RZ545	Marker
3	RG450	19.85	RG450	Marker
3	RG191	20.1	RG191	Marker
3	RG224	20.35	RG224	Marker
3	RZ313	20.35	RZ313	Marker
3	ISU35B	20.6	ISU35	Marker
3	CD1387B	20.6	CD1387	Marker
3	CDO1395	20.6	CDO1395	Marker
3	RZ517	20.85	RZ517	Marker
3	ISU49	21.1	ISU49	Marker
3	RZ1000	21.35	RZ1000	Marker
3	RZ678	21.35	RZ678	Marker
3	CDO608	21.35	CDO608	Marker
3	UAZ230C	21.35	UAZ230	Marker
3	RM251	21.35	RM251	Marker
3	RG745	21.35	RG745	Marker
