map_name	feature_name	feature_start	feature_stop	feature_alt_name	feature_type
1	RM499	0		RM499	Marker
1	RM462	2.8		RM462	Marker
1	RM495	2.8		RM495	Marker
1	RG472	9.3		RG472	Marker
1	RM476A	16.3		RM476	Marker
1	RM428	19.3		RM428	Marker
1	RM84	26.2		RM84	Marker
1	RM323	26.2		RM323	Marker
1	RG246	27.1		RG246	Marker
1	RM220	28.4		RM220	Marker
1	RM86	28.4		RM86	Marker
1	RM1	29.7		RM1	Marker
1	RM283	31.4		RM283	Marker
1	RM522	33.9		RM522	Marker
1	RM151	36.2		RM151	Marker
1	RM272	37.3		RM272	Marker
1	RG532	38.7		RG532	Marker
1	U10	44.4		U10	Marker
1	RM490	51		RM490	Marker
1	RM575	52.6		RM575	Marker
1	RM576	52.6		RM576	Marker
1	W1	54.2		W1	Marker
1	RM259	54.2		RM259	Marker
1	RM243	57.3		RM243	Marker
1	RM583	58.9		RM583	Marker
1	RM578	61.3		RM578	Marker
1	RM579	61.3		RM579	Marker
1	RM600	64.75		RM600	Marker
1	RM581	66.4		RM581	Marker
1	RM582	66.4		RM582	Marker
1	RG173X	66.4		RG173	Marker
1	RM580	68.2		RM580	Marker
1	RM572	69.9		RM572	Marker
1	R210	71.6		R210	Marker
1	RM23	71.6		RM23	Marker
1	RM312	71.6		RM312	Marker
1	RM81A	77.5		RM81	Marker
1	RM140	78.4		RM140	Marker
1	RM493	79.7		RM493	Marker
1	RM24	80.95		RM24	Marker
1	RM294B	80.95		RM294	Marker
1	RM129	80.95		RM129	Marker
1	RM513	80.95		RM513	Marker
1	RM446	80.95		RM446	Marker
1	RM594	80.95		RM594	Marker
1	RM595	80.95		RM595	Marker
1	RM466	80.95		RM466	Marker
1	RM329	80.95		RM329	Marker
1	RM157B	80.95		RM157	Marker
1	RM449	80.95		RM449	Marker
1	RM562	80.95		RM562	Marker
1	Amy1B	81.9		Amy1B	Marker
1	RG146	83.5		RG146	Marker
1	RZ276	85.4		RZ276	Marker
1	RM9	92.4		RM9	Marker
1	RM5	94.9		RM5	Marker
1	RM306	98.1		RM306	Marker
1	RM488	101.4		RM488	Marker
1	RM34	104.2		RM34	Marker
1	RM237	115.2		RM237	Marker
1	RM246	115.2		RM246	Marker
1	RG345	115.2		RG345	Marker
1	RG381	117.1		RG381	Marker
1	RM473A	120.2		RM473	Marker
1	RM443	122.7		RM443	Marker
1	RM403	131.2		RM403	Marker
1	RM128	134.8		RM128	Marker
1	RZ19	136.7		RZ19	Marker
1	RG690	143.2		RG690	Marker
1	RM543	145.6		RM543	Marker
1	RM302	147.8		RM302	Marker
1	RM212	148.7		RM212	Marker
1	RM319	150.5		RM319	Marker
1	RM102	152.2		RM102	Marker
1	RM476B	152.2		RM476	Marker
1	RM486	153.5		RM486	Marker
1	OSR3	154.8		OSR3	Marker
1	RZ730	154.8		RZ730	Marker
1	RM265	155.9		RM265	Marker
1	RM315	165.3		RM315	Marker
1	RM472	171.6		RM472	Marker
1	RM431	178.3		RM431	Marker
1	RM104	186.6		RM104	Marker
1	OSR23	186.6		OSR23	Marker
1	RG810	188.7		RG810	Marker
1	RZ801	189.6		RZ801	Marker
1	RM529	189.6		RM529	Marker
1	RM414	191.1		RM414	Marker
1	RM14	194.1		RM14	Marker
1	RG331	194.1		RG331	Marker
1	RM568	196.5		RM568	Marker
2	RM485	0		RM485	Marker
2	OSR17	1.1		OSR17	Marker
2	RM154	4.8		RM154	Marker
2	RM110	6.9		RM110	Marker
2	OSR14	6.9		OSR14	Marker
2	RM211	14.4		RM211	Marker
2	RM233A	16.3		RM233	Marker
2	RM279	17.3		RM279	Marker
2	RM423	28.7		RM423	Marker
2	RM53	32.7		RM53	Marker
2	RM555	34.7		RM555	Marker
2	RM174	47.5		RM174	Marker
2	RM71	49.8		RM71	Marker
2	RM322	49.8		RM322	Marker
2	RM145	49.8		RM145	Marker
2	RG437	51.9		RG437	Marker
2	RM492	53		RM492	Marker
2	RM452	58.4		RM452	Marker
2	RM438	62.2		RM438	Marker
2	RM550	62.2		RM550	Marker
2	RM521	62.2		RM521	Marker
2	RM27	66		RM27	Marker
2	RM424	67.45		RM424	Marker
2	RM290	67.45		RM290	Marker
2	RM300	67.45		RM300	Marker
2	RM301	67.45		RM301	Marker
2	RM327	67.45		RM327	Marker
2	RM29	68.9		RM29	Marker
2	RG171	70.2		RG171	Marker
2	RM561	74.1		RM561	Marker
2	RM341	82.7		RM341	Marker
2	RG157	90.3		RG157	Marker
2	RM475	92.5		RM475	Marker
2	RZ318	115.9		RZ318	Marker
2	PalI	120.9		PalI	Marker
2	RM106	123.2		RM106	Marker
2	RM263	127.5		RM263	Marker
2	RM526	136.3		RM526	Marker
2	RM599	139.6		RM599	Marker
2	RM221	143.7		RM221	Marker
2	RM525	143.7		RM525	Marker
2	RM573	143.7		RM573	Marker
2	RZ58	148.9		RZ58	Marker
2	RM450	150.8		RM450	Marker
2	RM497	150.8		RM497	Marker
2	RM318	152.75		RM318	Marker
2	RM6	154.7		RM6	Marker
2	RM240	158		RM240	Marker
2	RM530	158		RM530	Marker
2	CDO686	158		CDO686	Marker
2	RM112	166		RM112	Marker
2	Amy1A	166		Amy1A	Marker
2	Amy1C	166		Amy1C	Marker
2	RM425	168.05		RM425	Marker
2	RM250	170.1		RM250	Marker
2	RG95	175.5		RG95	Marker
2	RG654	177.9		RG654	Marker
2	RG256	179.8		RG256	Marker
2	RM166	183		RM166	Marker
2	RM208	186.4		RM208	Marker
2	RZ123	186.4		RZ123	Marker
2	RM213	186.4		RM213	Marker
2	RM482	187.5		RM482	Marker
2	RZ213	190.2		RZ213	Marker
2	RM48	190.7		RM48	Marker
2	RM207	191.2		RM207	Marker
2	RM266	192.2		RM266	Marker
2	RM498	194.6		RM498	Marker
2	RM535	195.7		RM535	Marker
2	RM138	196.8		RM138	Marker
2	RG520	203.4		RG520	Marker
3	RM60	0		RM60	Marker
3	RM104	3.5		RM104	Marker
3	RM132	7		RM132	Marker
3	RM569	11		RM569	Marker
3	RM22	12		RM22	Marker
3	RM523	12		RM523	Marker
3	RM348	13		RM348	Marker
3	RM231	15.7		RM231	Marker
3	RZ329	23.9		RZ329	Marker
3	RM389	29.2		RM389	Marker
3	RZ892	29.2		RZ892	Marker
3	RM545	35.3		RM545	Marker
3	RG100	37.2		RG100	Marker
3	RG191	40.5		RG191	Marker
3	RM517	42.9		RM517	Marker
3	OSR16	42.9		OSR16	Marker
3	RM546	46.4		RM546	Marker
3	RZ678	53.1		RZ678	Marker
3	OSR13	53.1		OSR13	Marker
3	RM7	64		RM7	Marker
3	RM218	67.8		RM218	Marker
3	RM232	76.7		RM232	Marker
3	RM157A	76.7		RM157	Marker
3	RM251	79.1		RM251	Marker
3	RZ574	85.1		RZ574	Marker
3	RM563	89		RM563	Marker
3	RM554	100.6		RM554	Marker
3	RM282	100.6		RM282	Marker
3	RM338	108.4		RM338	Marker
3	RM473D	113.2		RM473	Marker
3	RZ284	115.9		RZ284	Marker
3	RZ394	119.7		RZ394	Marker
3	RM156	125.7		RM156	Marker
3	RM411	127.9		RM411	Marker
3	RM487	127.9		RM487	Marker
3	RM16	131.5		RM16	Marker
3	RZ403	132.8		RZ403	Marker
3	RG179	134.1		RG179	Marker
3	RM503	153.9		RM503	Marker
3	RM135	157.3		RM135	Marker
3	RM426	157.3		RM426	Marker
3	RM504	158.6		RM504	Marker
3	RM49	159.85		RM49	Marker
3	RM532	159.85		RM532	Marker
3	CDO337	161.1		CDO337	Marker
3	RZ519	163.5		RZ519	Marker
3	RZ448	165.9		RZ448	Marker
3	RM55	168.2		RM55	Marker
3	RM186	168.2		RM186	Marker
3	RM168	171.2		RM168	Marker
3	RM448	181.4		RM448	Marker
3	RM416	191.6		RM416	Marker
3	RM520	191.6		RM520	Marker
3	RM293	193.4		RM293	Marker
3	Pgi1	198		Pgi1	Marker
3	RM468	202.3		RM468	Marker
3	CDO87	203.5		CDO87	Marker
3	RM422	205.4		RM422	Marker
3	RM571	205.4		RM571	Marker
3	RM143	207.3		RM143	Marker
3	RM130	208.2		RM130	Marker
3	RG910	209.9		RG910	Marker
3	RM565	215.5		RM565	Marker
3	RM514	216.4		RM514	Marker
3	RM570	221.1		RM570	Marker
3	RM442	224.2		RM442	Marker
3	RM85	231		RM85	Marker
3	RG418A	231		RG418	Marker
4	RM307	0		RM307	Marker
4	RM401	8.5		RM401	Marker
4	RM537	15		RM537	Marker
4	RM551	15		RM551	Marker
4	RM335	21.5		RM335	Marker
4	RG218	23.7		RG218	Marker
4	RM518	25.5		RM518	Marker
4	RZ262	31.6		RZ262	Marker
4	RM261	35.4		RM261	Marker
4	RG908	41.6		RG908	Marker
4	RM456B	42.7		RM456	Marker
4	RG91	47.5		RG91	Marker
4	RM185	50.8		RM185	Marker
4	RG449	50.8		RG449	Marker
4	RM471	53.8		RM471	Marker
4	RM417	56.2		RM417	Marker
4	RM142	68.5		RM142	Marker
4	RG788	69.6		RG788	Marker
4	RM564	73.1		RM564	Marker
4	RM119	76.1		RM119	Marker
4	RZ565	80.1		RZ565	Marker
4	RZ675	94.4		RZ675	Marker
4	RM273	94.4		RM273	Marker
4	RM252	99		RM252	Marker
4	RM456A	99		RM456	Marker
4	RM241	106.2		RM241	Marker
4	RG163	112.2		RG163	Marker
4	RM451	115.5		RM451	Marker
4	RM470	115.5		RM470	Marker
4	RM303	116.9		RM303	Marker
4	RM317	118.3		RM317	Marker
4	RG214	135.4		RG214	Marker
4	RZ590	137.9		RZ590	Marker
4	RG143	146.8		RG143	Marker
4	RM131	148.8		RM131	Marker
4	RM124	150.1		RM124	Marker
4	RM127	150.1		RM127	Marker
4	RG620	150.1		RG620	Marker
4	RM280	152.3		RM280	Marker
4	RM567	153.6		RM567	Marker
4	RM559	155.8		RM559	Marker
5	RM507	0		RM507	Marker
5	RM153	1.15		RM153	Marker
5	RM159	1.15		RM159	Marker
5	RZ390	2.3		RZ390	Marker
5	RM413	26.7		RM413	Marker
5	RM405	28.6		RM405	Marker
5	RM548	28.6		RM548	Marker
5	RM13	30		RM13	Marker
5	RM267	30		RM267	Marker
5	RG313	31.4		RG313	Marker
5	RM592	31.4		RM592	Marker
5	RM593	31.4		RM593	Marker
5	RZ556	34.7		RZ556	Marker
5	RM574	41		RM574	Marker
5	RM437	43.4		RM437	Marker
5	RG403	52.5		RG403	Marker
5	RM289	56.7		RM289	Marker
5	RM169	57.9		RM169	Marker
5	RM516	59.6		RM516	Marker
5	RM509	65.8		RM509	Marker
5	RG229	68.3		RG229	Marker
5	RM598	68.3		RM598	Marker
5	RM430	78.7		RM430	Marker
5	RM473B	78.7		RM473	Marker
5	RM164	79.4		RM164	Marker
5	RM39	79.4		RM39	Marker
5	RG13	80.1		RG13	Marker
5	CDO105	81.7		CDO105	Marker
5	RM440	92.7		RM440	Marker
5	RM459	93.7		RM459	Marker
5	RZ649	96.4		RZ649	Marker
5	RM161	96.9		RM161	Marker
5	RM305	96.9		RM305	Marker
5	RM173	99.8		RM173	Marker
5	RZ67	100.6		RZ67	Marker
5	RM188	100.6		RM188	Marker
5	RM534	105.3		RM534	Marker
5	RM233B	110		RM233	Marker
5	RM421	111.2		RM421	Marker
5	RZ70	112		RZ70	Marker
5	RM178	118.8		RM178	Marker
5	RM26	122.7		RM26	Marker
5	RM274	126.6		RM274	Marker
5	RM87	129.2		RM87	Marker
5	RZ225	129.2		RZ225	Marker
5	RM480	130.6		RM480	Marker
5	RM538	132.7		RM538	Marker
5	RM334	141.8		RM334	Marker
6	RM133	0		RM133	Marker
6	RM508	0		RM508	Marker
6	RM540	0		RM540	Marker
6	RM435	2.2		RM435	Marker
6	RM469	2.2		RM469	Marker
6	RM589	3.2		RM589	Marker
6	RM597	3.2		RM597	Marker
6	RM170	4.8		RM170	Marker
6	RM190	7.4		RM190	Marker
6	RM588	7.4		RM588	Marker
6	RM586	7.4		RM586	Marker
6	RM587	10.7		RM587	Marker
