map_name	feature_alt_name	feature_start	feature_name	feature_type
1	R753	0	R753	Marker
1	R1841	3	R1841	Marker
1	R1613	3.9	R1613	Marker
1	RZ69	4.2	RZ69	Marker
1	RZ288	6.3	RZ288	Marker
1	R3192	21.1	R3192	Marker
1	RG532	26.2	RG532	Marker
1	C955	35.2	C955	Marker
1	RG35	41.1	RG35	Marker
1	RZ449	51.9	RZ449	Marker
1	RG173	52.9	RG173	Marker
1	R210	58.7	R210	Marker
1	C904	72	C904	Marker
1	R2632X	73.8	R2632	Marker
1	C316X	74.4	C316	Marker
1	C39X	74.4	C39	Marker
1	CDO348X	75.3	CDO348	Marker
1	RZ296	75.3	RZ296	Marker
1	RZ744	78.9	RZ744	Marker
1	CDO1091	84.3	CDO1091	Marker
1	R1928	87.1	R1928	Marker
1	RZ776	92.7	RZ776	Marker
1	R2635	99.2	R2635	Marker
1	RZ208	102.2	RZ208	Marker
1	RZ154	105.2	RZ154	Marker
1	R1485	110.6	R1485	Marker
1	C922	116	C922	Marker
1	RG470Xa	125.3	RG470	Marker
1	RG957	133.6	RG957	Marker
1	RG462	134.65	RG462	Marker
1	C1271	135.7	C1271	Marker
1	RG101	137.5	RG101	Marker
1	G393	137.8	G393	Marker
1	W10	138.1	W10	Marker
1	RG406	138.1	RG406	Marker
1	RZ161	142	RZ161	Marker
1	R655	143.8	R655	Marker
1	C2340	146.9	C2340	Marker
1	R494	147.5	R494	Marker
1	RG470Xb	148.4	RG470	Marker
1	C191	150.2	C191	Marker
1	C86	154.1	C86	Marker
1	RG220	156.2	RG220	Marker
1	RG109	158.3	RG109	Marker
1	R3203	170.3	R3203	Marker
1	RG810	177.6	RG810	Marker
1	RG222	180.9	RG222	Marker
1	R1014	184.2	R1014	Marker
1	C225X	185.5	C225	Marker
1	C112	200.9	C112	Marker
2	C763	0	C763	Marker
2	R2510	0	R2510	Marker
2	RG555	1.2	RG555	Marker
2	RG414	2.4	RG414	Marker
2	RZ825	8.3	RZ825	Marker
2	RG152	18.5	RG152	Marker
2	C149	34.1	C149	Marker
2	RG144	36	RG144	Marker
2	C829X	36.9	C829	Marker
2	RZ476	37.8	RZ476	Marker
2	G227	45.2	G227	Marker
2	R712	49.8	R712	Marker
2	C535	52.5	C535	Marker
2	R1589	53.1	R1589	Marker
2	RZ324	58.95	RZ324	Marker
2	R1843	64.8	R1843	Marker
2	RG171	66	RG171	Marker
2	C777X	67.8	C777	Marker
2	G1314X	84.1	G1314	Marker
2	RG25	90.4	RG25	Marker
2	C621	94.3	C621	Marker
2	RG886	96.2	RG886	Marker
2	RZ318	106	RZ318	Marker
2	RZ103X	106.87	RZ103	Marker
2	C1236	107.74	C1236	Marker
2	C920	108.6	C920	Marker
2	C747	113.9	C747	Marker
2	RG139	114.5	RG139	Marker
2	RG102	116.6	RG102	Marker
2	RG89	118.4	RG89	Marker
2	RG158	120.6	RG158	Marker
2	R3393	121.95	R3393	Marker
2	RG303	123.3	RG303	Marker
2	RG324	123.3	RG324	Marker
2	CDO507	130	CDO507	Marker
2	RG73	133.7	RG73	Marker
2	C1137X	134.6	C1137	Marker
2	C560	136.3	C560	Marker
2	C1119	138	C1119	Marker
2	RG151	146.7	RG151	Marker
2	RZ260	148.55	RZ260	Marker
2	R2511	150.4	R2511	Marker
2	RZ123	154.8	RZ123	Marker
2	RG520	158.9	RG520	Marker
2	RG913	163	RG913	Marker
2	C1470	166	C1470	Marker
2	RZ213	173.8	RZ213	Marker
3	RG104	0	RG104	Marker
3	C1173X	2.2	C1173	Marker
3	C567	2.2	C567	Marker
3	R1468	3.7	R1468	Marker
3	C721	5.5	C721	Marker
3	RG348	7.3	RG348	Marker
3	WG114	9.1	WG114	Marker
3	R1713	10.3	R1713	Marker
3	R1811	12.55	R1811	Marker
3	C238X	14.8	C238	Marker
3	RG944	17.2	RG944	Marker
3	RG409X	20.6	RG409	Marker
3	RZ329	21.4	RZ329	Marker
3	R265X	22.2	R265	Marker
3	C25	23	C25	Marker
3	R518	23.8	R518	Marker
3	MWG716	24.6	MWG716	Marker
3	RG335	27.3	RG335	Marker
3	RG117	27.3	RG117	Marker
3	RG450	30	RG450	Marker
3	RG224	31.2	RG224	Marker
3	C316X	32.7	C316	Marker
3	C563	35.7	C563	Marker
3	C63	42	C63	Marker
3	RG191	44.15	RG191	Marker
3	RG722	46.3	RG722	Marker
3	C1488	49	C1488	Marker
3	R411X	49.9	R411	Marker
3	R3156	51.4	R3156	Marker
3	C1135	57.6	C1135	Marker
3	RG69	61.2	RG69	Marker
3	C361	64.6	C361	Marker
3	G144	68.55	G144	Marker
3	RZ264	72.5	RZ264	Marker
3	RZ284	72.5	RZ284	Marker
3	C1677	76.1	C1677	Marker
3	C2807	76.1	C2807	Marker
3	C80	88.1	C80	Marker
3	CDO109	90.5	CDO109	Marker
3	C269	93.35	C269	Marker
3	RZ598	96.2	RZ598	Marker
3	CDO795	96.2	CDO795	Marker
3	RZ76	98	RZ76	Marker
3	R19	102.6	R19	Marker
3	RZ519	116.2	RZ519	Marker
3	CDO337	129.8	CDO337	Marker
3	C1351	131.6	C1351	Marker
3	RZ745	132.8	RZ745	Marker
3	C944	132.8	C944	Marker
3	R321	133.7	R321	Marker
3	C1468	135.6	C1468	Marker
3	C2540	139.9	C2540	Marker
3	C1239X	143.05	C1239	Marker
3	C217	146.2	C217	Marker
3	C393Xa	154.9	C393	Marker
3	R1927	156.4	R1927	Marker
3	RG910	160.4	RG910	Marker
3	C393Xb	165.65	C393	Marker
3	R1925	170.9	R1925	Marker
3	RZ142	170.9	RZ142	Marker
4	R1854	0	R1854	Marker
4	C946	0	C946	Marker
4	R288	6.2	R288	Marker
4	RG190	7.1	RG190	Marker
4	RG396	7.1	RG396	Marker
4	RZ656	12.5	RZ656	Marker
4	RG91	27.6	RG91	Marker
4	C777X	38.2	C777	Marker
4	C891	44.2	C891	Marker
4	C140	45.4	C140	Marker
4	C513	63.3	C513	Marker
4	R278	69	R278	Marker
4	R1849	69.9	R1849	Marker
4	CDO216	71.6	CDO216	Marker
4	RZ740	73.3	RZ740	Marker
4	RG122	79.7	RG122	Marker
4	RG939X	81.37	RG939	Marker
4	R738	83.04	R738	Marker
4	RG776	84.7	RG776	Marker
4	RG208	95	RG208	Marker
4	RG214	95	RG214	Marker
4	R78	96.8	R78	Marker
4	RG169	98.6	RG169	Marker
4	C1016	101.1	C1016	Marker
4	R416	109	R416	Marker
4	R1427	109	R1427	Marker
4	RG620	114.4	RG620	Marker
4	RZ819	115	RZ819	Marker
4	C445	116	C445	Marker
5	RZ390	0	RZ390	Marker
5	C263	4.7	C263	Marker
5	R830	9.9	R830	Marker
5	CDO580	12.3	CDO580	Marker
5	BGL760	19.9	BGL760	Marker
5	RG360	22.3	RG360	Marker
5	C119	22.6	C119	Marker
5	R2232	27.2	R2232	Marker
5	RG671	60.8	RG671	Marker
5	C309	62.53	C309	Marker
5	R413	64.26	R413	Marker
5	RZ277	65.99	RZ277	Marker
5	CDO226	67.7	CDO226	Marker
5	RZ945	71.6	RZ945	Marker
5	R1436	84.6	R1436	Marker
5	C1239X	86.5	C1239	Marker
5	CDO105	89.4	CDO105	Marker
5	RG13	94.7	RG13	Marker
5	R1553	101.2	R1553	Marker
5	CDO345	103.7	CDO345	Marker
5	G1314X	108.1	G1314	Marker
5	R594	109.7	R594	Marker
5	C43	111.3	C43	Marker
5	CDO89	113.9	CDO89	Marker
5	C1402	116	C1402	Marker
5	RG470X	117.8	RG470	Marker
5	RZ70	122	RZ70	Marker
5	C2782X	131.8	C2782	Marker
5	C246	132.4	C246	Marker
5	RG697Xa	138.2	RG697	Marker
5	RG697Xb	139.6	RG697	Marker
5	R1714	142.2	R1714	Marker
5	RG435	147.4	RG435	Marker
5	C1447	148.2	C1447	Marker
5	R1939	149	R1939	Marker
5	RG119	149.8	RG119	Marker
5	CDO54	154.7	CDO54	Marker
6	C1003X	0	C1003	Marker
6	R565	4.3	R565	Marker
6	C952	5.5	C952	Marker
6	C1084X	9.6	C1084	Marker
6	R1952	12.9	R1952	Marker
6	C226X	22.2	C226	Marker
6	RZ398	23.9	RZ398	Marker
6	RZ450	28.9	RZ450	Marker
6	RZ588	35.2	RZ588	Marker
6	RG213	44.1	RG213	Marker
6	R2147	47.9	R2147	Marker
6	G200	47.9	G200	Marker
6	R2171	58.1	R2171	Marker
6	C235X	65.2	C235	Marker
6	RG64	65.8	RG64	Marker
6	R2123	71.3	R2123	Marker
6	RZ192	74.5	RZ192	Marker
6	RG648	77.2	RG648	Marker
6	RG424	79.3	RG424	Marker
6	R32	80.5	R32	Marker
6	C829X	89.4	C829	Marker
6	RG716	93.2	RG716	Marker
6	G1314X	98.6	G1314	Marker
6	G12	107.2	G12	Marker
6	CDO544	115.8	CDO544	Marker
6	R276	123.9	R276	Marker
6	C962	132	C962	Marker
6	R2071	133.05	R2071	Marker
6	RG653	134.1	RG653	Marker
