map_name	feature_name	feature_start	feature_alt_name	feature_type
1	CDO328	0	CDO328	Marker
1	BCD134	10.7	BCD134	Marker
1	RZ776	24.5	RZ776	Marker
1	C813	41.7	C813	Marker
1	PC17M5	94.1	PC17M5	Marker
1	PC15M10	104.2	PC15M10	Marker
1	PC15M11	104.2	PC15M11	Marker
1	PC3M3	133.9	PC3M3	Marker
1	WG110	160.7	WG110	Marker
1	PC34M9	181.8	PC34M9	Marker
1	PC34M10	181.8	PC34M10	Marker
1	PC35M12	186.3	PC35M12	Marker
1	PC73M1	187.1	PC73M1	Marker
1	PC28M12	190.1	PC28M12	Marker
1	PC12M7	193	PC12M7	Marker
1	PC15M5	194.3	PC15M5	Marker
1	PC17M10	199.3	PC17M10	Marker
1	PC26M7	201.3	PC26M7	Marker
1	PC3M12	203.3	PC3M12	Marker
1	PC28M16	203.3	PC28M16	Marker
1	PC26M13	204.1	PC26M13	Marker
1	PC180M1	211	PC180M1	Marker
1	PC32M5	218.1	PC32M5	Marker
1	PC31M10	239	PC31M10	Marker
1	PC34M6	246.4	PC34M6	Marker
1	C49	252.4	C49	Marker
1	PC11M10	271.6	PC11M10	Marker
1	PC11M11	271.6	PC11M11	Marker
1	RG197	283.8	RG197	Marker
2	PC11M9	0	PC11M9	Marker
2	PC47M5	1.4	PC47M5	Marker
2	PC48M10	3.4	PC48M10	Marker
2	RZ220	7.5	RZ220	Marker
2	PC41M3	14.7	PC41M3	Marker
2	PC48M6	18.6	PC48M6	Marker
2	PC74M9	19.6	PC74M9	Marker
2	PC20M8	24.3	PC20M8	Marker
2	PC33M9	26.4	PC33M9	Marker
2	PC79M6	32.7	PC79M6	Marker
2	RG83	37.5	RG83	Marker
2	RG144	53.7	RG144	Marker
2	PC17M2	58.7	PC17M2	Marker
2	PC180M8	58.7	PC180M8	Marker
2	PC73M14	59.4	PC73M14	Marker
2	PC17M3	67.9	PC17M3	Marker
2	PC41M2	73.6	PC41M2	Marker
2	PC47M3	75.4	PC47M3	Marker
2	PC173M5	77.8	PC173M5	Marker
2	PC27M4	80.9	PC27M4	Marker
2	PC27M9	83	PC27M9	Marker
2	PC33M3	87.6	PC33M3	Marker
2	PC27M1	88.5	PC27M1	Marker
2	PC41M13	89.8	PC41M13	Marker
2	PC32M4	91.4	PC32M4	Marker
2	RG171	92.2	RG171	Marker
2	R1843	94.9	R1843	Marker
2	PC35M1	99.4	PC35M1	Marker
2	PC73M8	100.8	PC73M8	Marker
2	PC48M16	101.1	PC48M16	Marker
2	RZ386	113.7	RZ386	Marker
2	C499	129.6	C499	Marker
2	PC11M1	163.1	PC11M1	Marker
2	PC184M5	164	PC184M5	Marker
2	PC17M8	165.2	PC17M8	Marker
2	PC17M9	165.2	PC17M9	Marker
2	PC3M11	167	PC3M11	Marker
2	PC33M8	171.2	PC33M8	Marker
2	PC21M1	182.4	PC21M1	Marker
2	PC12M1	186.2	PC12M1	Marker
2	PC3M10	188.7	PC3M10	Marker
2	PC3M9	188.7	PC3M9	Marker
2	PC180M2	191.5	PC180M2	Marker
2	RG188	210.8	RG188	Marker
2	AA7-2b	217.6	AA7-2b	Marker
2	AA7-2a	220.9	AA7-2a	Marker
2	RG95	236.6	RG95	Marker
2	RG256	254.9	RG256	Marker
2	PC32M10	260.2	PC32M10	Marker
2	RG151	268.2	RG151	Marker
3	C63	0	C63	Marker
3	PC26M1	10.2	PC26M1	Marker
3	PC20M2	11.3	PC20M2	Marker
3	RG191	17.7	RG191	Marker
3	PC73M7	45.3	PC73M7	Marker
3	PC20M11	49.9	PC20M11	Marker
3	PC20M12	52.7	PC20M12	Marker
3	PC74M4	55	PC74M4	Marker
3	PC34M7	59.4	PC34M7	Marker
3	PC15M9	67.6	PC15M9	Marker
3	PC4M9	68.3	PC4M9	Marker
3	PC4M10	68.3	PC4M10	Marker
3	PC12M4	68.6	PC12M4	Marker
3	PC180M7	70.3	PC180M7	Marker
3	PC73M13	73.3	PC73M13	Marker
3	PC3M5	77.1	PC3M5	Marker
3	PC3M6	77.1	PC3M6	Marker
3	PC79M3	89.3	PC79M3	Marker
3	PC79M4	91	PC79M4	Marker
3	PC79M10	91.7	PC79M10	Marker
3	PC38M13	97.2	PC38M13	Marker
3	C746	100.5	C746	Marker
3	RZ448	113.9	RZ448	Marker
3	CDO122	116	CDO122	Marker
3	PC26M3	116.3	PC26M3	Marker
3	PC4M5	120	PC4M5	Marker
3	PC18M7	122.2	PC18M7	Marker
3	PC18M8	122.2	PC18M8	Marker
3	PC47M2	129.8	PC47M2	Marker
3	RZ575	134.1	RZ575	Marker
3	PC47M12	135.4	PC47M12	Marker
3	PC150M7	137.7	PC150M7	Marker
3	PC35M4	141.2	PC35M4	Marker
3	PC35M5	141.2	PC35M5	Marker
3	RZ630	149.2	RZ630	Marker
3	R1618	158.1	R1618	Marker
3	RG510	180.2	RG510	Marker
3	R3226	193.7	R3226	Marker
3	RG558	196.4	RG558	Marker
3	PC32M2	197.2	PC32M2	Marker
3	PC33M12	203.3	PC33M12	Marker
3	RG910	206.6	RG910	Marker
3	PC34M12	209	PC34M12	Marker
3	PC48M17	209.4	PC48M17	Marker
3	R1925	219.1	R1925	Marker
3	RG1356	233.3	RG1356	Marker
4	PC38M10	0	PC38M10	Marker
4	AA7-2c	5.1	AA7-2c	Marker
4	RG218	8.6	RG218	Marker
4	CDO456	10	CDO456	Marker
4	PC79M8	13	PC79M8	Marker
4	PC33M4	14.1	PC33M4	Marker
4	PC33M5	14.1	PC33M5	Marker
4	PC38M9	16.8	PC38M9	Marker
4	PC15M4	18.9	PC15M4	Marker
4	PC173M18	19.9	PC173M18	Marker
4	PC18M11	21.8	PC18M11	Marker
4	PC184M8	21.8	PC184M8	Marker
4	PC28M11	23	PC28M11	Marker
4	CDO241	28	CDO241	Marker
4	PC11M6	42.4	PC11M6	Marker
4	PC11M12	44.8	PC11M12	Marker
4	PC28M1	47.7	PC28M1	Marker
4	PC20M13	49.9	PC20M13	Marker
4	PC74M3	51.7	PC74M3	Marker
4	PC38M7	54.4	PC38M7	Marker
4	PC35M15	56	PC35M15	Marker
4	PC35M16	56	PC35M16	Marker
4	PC36M3	58.7	PC36M3	Marker
4	RG396	61.5	RG396	Marker
4	RG190	61.5	RG190	Marker
4	PC48M14	63.2	PC48M14	Marker
4	PC79M1	64.4	PC79M1	Marker
4	PC75M2	65.1	PC75M2	Marker
