map_name	feature_name	feature_start	feature_stop	feature_alt_name	feature_type
1	R687	0		R687	Marker
1	C161	0.3		C161	Marker
1	Y3664L	0.6		Y3664L	Marker
1	C602	0.6		C602	Marker
1	C50102	4.2		C50102	Marker
1	S1442	5.3		S1442	Marker
1	C53447S	5.3		C53447S	Marker
1	C51033	5.6		C51033	Marker
1	S13157S	5.6		S13157S	Marker
1	S1543	5.6		S1543	Marker
1	C970	5.6		C970	Marker
1	S10623	7		S10623	Marker
1	C1679	7		C1679	Marker
1	R87	8.4		R87	Marker
1	L451	8.7		L451	Marker
1	C749	8.7		C749	Marker
1	V32	8.7		RZ543	Marker
1	G107	8.7		G107	Marker
1	S13048	9.5		S13048	Marker
1	C90	10.9		C90	Marker
1	E30207S	10.9		E30207S	Marker
1	C50986S	10.9		C50986S	Marker
1	R753	10.9		R753	Marker
1	S10115S	10.9		S10115S	Marker
1	S5853	11.4		S5853	Marker
1	S20154S	11.7		S20154S	Marker
1	S14080	12.2		S14080	Marker
1	C30	12.2		C30	Marker
1	S14064	12.2		S14064	Marker
1	R1841	12.2		R1841	Marker
1	R106	12.2		R106	Marker
1	M225A	12.2		M225	Marker
1	C146	12.2		C146	Marker
1	V217	12.2		V217	Marker
1	M324A	12.2		M324	Marker
1	C936	12.2		C936	Marker
1	C1127A	12.5		C1127	Marker
1	M324C	12.5		M324	Marker
1	S20229S	12.5		S20229S	Marker
1	Y5693L	12.8		Y5693L	Marker
1	V231	12.8		V231	Marker
1	V31	12.8		RZ288	Marker
1	C804	13.1		C804	Marker
1	E4105S	13.1		E4105S	Marker
1	Y1941R	13.1		Y1941R	Marker
1	T26	16.1		T26	Marker
1	R1613	16.1		R1613	Marker
1	G5001	16.1		G5001	Marker
1	E222S	16.4		E222S	Marker
1	W598	16.9		W598	Marker
1	C470	19.9		C470	Marker
1	R480B	20.2		R480	Marker
1	Y6551R	20.9		Y6551R	Marker
1	S1778	22.6		S1778	Marker
1	W168B	23.7		W168	Marker
1	T96	23.7		T96	Marker
1	R2747	24		R2747	Marker
1	R1944	24		R1944	Marker
1	G359	25.4		G359	Marker
1	C668	25.4		C668	Marker
1	C101	25.4		C101	Marker
1	S1651	25.4		S1651	Marker
1	R3192	26.8		R3192	Marker
1	L612	27.3		L612	Marker
1	C12072S	28.4		C12072S	Marker
1	C885	28.9		C885	Marker
1	S4325S	28.9		S4325S	Marker
1	S10057B	28.9		S10057	Marker
1	C319	29.7		C319	Marker
1	E31375S	30.5		E31375S	Marker
1	S14085	30.8		S14085	Marker
1	G1184C	32.4		G1184	Marker
1	C52458S	32.4		C52458S	Marker
1	R665	36.9		R665	Marker
1	R457	37.4		R457	Marker
1	Y3853L	38.8		Y3853L	Marker
1	T98	38.8		T98	Marker
1	V3A	38.8		CYC1_23A	Marker
1	C955	38.8		C955	Marker
1	R3470S	38.8		R3470S	Marker
1	S11941A	41.2		S11941	Marker
1	S5053S	42.4		S5053S	Marker
1	V92	42.4		V092	Marker
1	G317	43.2		G317	Marker
1	S10245	43.2		S10245	Marker
1	W115	43.2		W115	Marker
1	G89A	43.2		G89	Marker
1	C399	43.2		C399	Marker
1	R549B	43.35		R549	Marker
1	R618	43.35		R618	Marker
1	G8028	43.5		G8028	Marker
1	G8027	43.5		G8027	Marker
1	S11214	45.4		S11214	Marker
1	R844	46.3		R844	Marker
1	Y7360L	46.3		Y7360L	Marker
1	S11122	47.2		S11122	Marker
1	C113	49		C113	Marker
1	E476S	49.3		E476S	Marker
1	R2151S	49.6		R2151S	Marker
1	Y3683R	49.9		Y3683R	Marker
1	Y5368L	49.9		Y5368L	Marker
1	Y5105L	50.2		Y5105L	Marker
1	C1338	50.8		C1338	Marker
1	C1211	52.1		C1211	Marker
1	S10086	52.4		S10086	Marker
1	C60871	52.7		C60871	Marker
1	Y2320L	53.5		Y2320L	Marker
1	Y5105R	53.5		Y5105R	Marker
1	S1959	53.9		S1959	Marker
1	S10591	53.9		S10591	Marker
1	C916A	54.3		C916	Marker
1	Y2317L	54.6		Y2317L	Marker
1	R210	55.4		R210	Marker
1	Y1895L	55.4		Y1895L	Marker
1	R930S	55.7		R930S	Marker
1	G1184D	58.1		G1184	Marker
1	E51008S	58.1		E51008S	Marker
1	R2167	58.1		R2167	Marker
1	R108	58.1		R108	Marker
1	R1712	58.1		R1712	Marker
1	Y2317R	58.1		Y2317R	Marker
1	V138	60.3		RG811	Marker
1	S2139	60.6		S2139	Marker
1	E4175S	60.6		E4175S	Marker
1	E21147S	60.9		E21147S	Marker
1	E10119S	62.5		E10119S	Marker
1	L429	63.9		L429	Marker
1	V193	63.9		V193	Marker
1	S21093S	63.9		S21093S	Marker
1	C51420S	64.4		C51420S	Marker
1	S1501	64.9		S1501	Marker
1	S13927	65.4		S13927	Marker
1	C11461	65.4		C11461	Marker
1	E341S	65.4		E341S	Marker
1	R2280	65.8		R2280	Marker
1	R1902A	66.15		R1902	Marker
1	P164	66.15		P164	Marker
1	R2329S	66.2		R2329S	Marker
1	C52903S	66.2		C52903S	Marker
1	C1905	66.5		C1905	Marker
1	Y3496R	66.5		Y3496R	Marker
1	E3109S	67.6		E3109S	Marker
1	E50811	67.9		E50811	Marker
1	Y5714L	69		Y5714L	Marker
1	S11337	69.3		S11337	Marker
1	P70	69.55		P70	Marker
1	E324S	70.1		E324S	Marker
1	G165B	70.5		G165	Marker
1	S1715	71.2		S1715	Marker
1	R1903	71.2		R1903	Marker
1	P67	71.2		P67	Marker
1	C904	71.2		C904	Marker
1	C1733S	71.2		C1733S	Marker
1	E664SB	71.45		E664S	Marker
1	E4369S	71.7		E4369S	Marker
1	E1178SC	71.7		E1178S	Marker
1	R2501A	71.7		R2501	Marker
1	P145	72.3		P145	Marker
1	C45	72.8		C45	Marker
1	E30292SA	72.8		E30292S	Marker
1	S960	73.1		S960	Marker
1	C369	73.1		C369	Marker
1	E3004S	73.1		E3004S	Marker
1	S14028	73.1		S14028	Marker
1	R2630	73.1		R2630	Marker
1	R2880	73.1		R2880	Marker
1	R596	73.1		R596	Marker
1	V178	73.4		RZ413	Marker
1	R1547	73.4		R1547	Marker
1	Y6855RB	73.4		Y6855R	Marker
1	C12614S	73.4		C12614S	Marker
1	C60614S	73.4		C60614S	Marker
1	S10626	73.4		S10626	Marker
1	R2504	73.4		R2504	Marker
1	L1087	73.4		L1087	Marker
1	C178	73.4		C178	Marker
1	Y3094R	73.4		Y3094R	Marker
1	S3382S	73.4		S3382S	Marker
1	C585	73.55		C585	Marker
1	E2071SA	73.55		E2071S	Marker
1	E31151SB	73.55		E31151S	Marker
1	E60808S	73.7		E60808S	Marker
1	R10920S	78		R10920S	Marker
1	E4469S	78.8		E4469S	Marker
1	E3232S	83.7		E3232S	Marker
1	S20505S	84		S20505S	Marker
1	E60464S	84.3		E60464S	Marker
1	E60128S	86		E60128S	Marker
1	S765	87.1		S765	Marker
1	S13849	87.1		S13849	Marker
1	R2159	87.4		R2159	Marker
1	V139	87.4		CDO920	Marker
1	P102	90.4		P102	Marker
1	R1928	90.9		R1928	Marker
1	E50872S	91.2		E50872S	Marker
1	G270	91.45		G270	Marker
1	Y3154R	91.7		Y3154R	Marker
1	Y2820R	93.1		Y2820R	Marker
1	S13994	93.1		S13994	Marker
1	Y2820L	94.5		Y2820L	Marker
1	S1945	94.5		S1945	Marker
1	R1467	95		R1467	Marker
1	R3072	95.7		R3072	Marker
1	W394	95.7		W394	Marker
1	Y3463R	96.1		Y3463R	Marker
1	C50509	96.1		C50509	Marker
1	S20984S	96.1		S20984S	Marker
1	M163A	96.4		M163	Marker
1	M201	96.4		M201	Marker
1	R2374B	97.2		R2374	Marker
1	S10634B	97.2		S10634	Marker
1	C61385S	98		C61385S	Marker
1	L588	98.5		L588	Marker
1	S13559	98.5		S13559	Marker
1	P23	98.5		P23	Marker
1	R2635	100.4		R2635	Marker
1	G3001	101.5		G3001	Marker
1	S2457	101.8		S2457	Marker
1	V67	101.8		RZ154	Marker
1	C1456	102.3		C1456	Marker
1	S12831	102.3		S12831	Marker
1	G302	103.1		G302	Marker
1	C409	103.1		C409	Marker
1	C981	103.4		C981	Marker
1	R1485	103.4		R1485	Marker
1	R2374	103.7		R2374	Marker
1	G6003	104		G6003	Marker
1	R2816	106.2		R2816	Marker
1	C808	106.2		C808	Marker
1	L666	107.6		L666	Marker
1	E1117S	107.6		E1117S	Marker
1	P77	108.1		P77	Marker
