map_name	feature_alt_name	feature_start	feature_name	feature_type
1	C161	0	C161	Marker
1	RG1028	5.9	RG1028	Marker
1	E13M60.320-P2	7.6	E13M60.320-P2	Marker
1	RM84	10	RM84	Marker
1	RG655	11.5	RG655	Marker
1	RM1	12.9	RM1	Marker
1	RG458	15.2	RG458	Marker
1	RG636	17	RG636	Marker
1	RG140	18.8	RG140	Marker
1	EstI1	29.3	EstI1	Marker
1	RM243	44	RM243	Marker
1	RM35	49.9	RM35	Marker
1	E13M60.160-P2	58	E13M60.160-P2	Marker
1	E13M59.052-P1	61.3	E13M59.052-P1	Marker
1	RM23	63	RM23	Marker
1	G1184A	63	G1184	Marker
1	RG811	64.7	RG811	Marker
1	RM81A	72	RM81	Marker
1	E24M50.534-P1	76.4	E24M50.534-P1	Marker
1	E25M60.448-P1	80.8	E25M60.448-P1	Marker
1	E13M59.274-P2	82.4	E13M59.274-P2	Marker
1	E25M48.190-P1	84	E25M48.190-P1	Marker
1	RM238A	84.2	RM238	Marker
1	RM24	84.2	RM24	Marker
1	E13M60.480-P1	84.4	E13M60.480-P1	Marker
1	RG146B	84.8	RG146	Marker
1	E23M50.419-P1	87.6	E23M50.419-P1	Marker
1	RZ744	90.4	RZ744	Marker
1	E24M50.364-P1	91.4	E24M50.364-P1	Marker
1	E23M50.560-P2	92.4	E23M50.560-P2	Marker
1	RM9A	94.8	RM9	Marker
1	BCD134	94.8	BCD134	Marker
1	RG375	101	RG375	Marker
1	E13M59.183-P1	104	E13M59.183-P1	Marker
1	E13M60.294-P2	106.9	E13M60.294-P2	Marker
1	RM5	108.9	RM5	Marker
1	E26M47.356-P2	116.6	E26M47.356-P2	Marker
1	E25M60.364-P2	122.7	E25M60.364-P2	Marker
1	RG303	122.7	RG303	Marker
1	E25M50.M005-P1	123.8	E25M50.M005-P1	Marker
1	RG462	129.5	RG462	Marker
1	RG519	135.3	RG519	Marker
1	MEI-1	140.7	MEI-1	Marker
1	E13M60.082-P1	144.8	E13M60.082-P1	Marker
1	E26M49.417-P1	148.2	E26M49.417-P1	Marker
1	E25M59.150-P2	151.1	E25M59.150-P2	Marker
