map_name	feature_name	feature_start	feature_stop	feature_alt_name	feature_type
a	Xtxa3383	0.0		Xtxa3383	Marker
a	Xtxa2704	2.6		Xtxa2704	Marker
a	isu62	2.6	7.9	isu62	Marker
a	Xtxs1075.3	2.6	7.9	Xtxs1075.3	Marker
a	Xtxa2621	2.6	7.9	Xtxa2621	Marker
a	Xtxa2723	2.6	7.9	Xtxa2723	Marker
a	Xtxa3905	2.6	7.9	Xtxa3905	Marker
a	Xtxa4198	2.6	7.9	Xtxa4198	Marker
a	Xtxa4069	2.6	12.7	Xtxa4069	Marker
a	isu63.2	7.9		isu63.2	Marker
a	Xtxa6198	8.6		Xtxa6198	Marker
a	Xtxa6003	9.2		Xtxa6003	Marker
a	Xtxa74	9.2	12.7	Xtxa74	Marker
a	umc84	12.7		umc84	Marker
a	Xtxa3050	12.7	16.9	Xtxa3050	Marker
a	cdo457	14.0		cdo457	Marker
a	Xtxa6032	14.0		Xtxa6032	Marker
a	Xtxa3632	14.0		Xtxa3632	Marker
a	bnl6.25	14.0	16.9	bnl6.25	Marker
a	Xtxa2959	14.0	16.9	Xtxa2959	Marker
a	Xtxa2998	14.0	16.9	Xtxa2998	Marker
a	Xtxa3408	14.0	16.9	Xtxa3408	Marker
a	Xtxa3757	14.0	16.9	Xtxa3757	Marker
a	Xtxa3770	14.0	16.9	Xtxa3770	Marker
a	Xtxa6104	14.0	16.9	Xtxa6104	Marker
a	isu70	16.9		isu70	Marker
a	isu110.4	16.9	19.8	isu110.4	Marker
a	umc161	16.9	19.8	umc161	Marker
a	cdo87.2	16.9	19.8	cdo87.2	Marker
a	Xgap256	16.9	19.8	Xgap256	Marker
a	Xtxa224	16.9	19.8	Xtxa224	Marker
a	Xtxa3154	16.9	19.8	Xtxa3154	Marker
a	Xtxa3527	16.9	19.8	Xtxa3527	Marker
a	Xtxa4076	16.9	19.8	Xtxa4076	Marker
a	Xtxa6077	16.9	19.8	Xtxa6077	Marker
a	Xtxa6096	16.9	19.8	Xtxa6096	Marker
a	Xtxa6176	16.9	19.8	Xtxa6176	Marker
a	Xtxa6295	16.9	19.8	Xtxa6295	Marker
a	Xtxa3258	16.9	24.2	Xtxa3258	Marker
