feature_name1	feature_name2	evidence
C1008	S1633	insilico
C11393S	E10074S	insilico
C1238	S15180S	insilico
C1239	S15180S	insilico
C1257	C1271	insilico
C1257	C1282	insilico
C1257	S15180S	insilico
C1271	C1282	insilico
C1271	S15180S	insilico
C128	RZ67	insilico
C1282	S15180S	insilico
C1286	S15180S	insilico
C1350	S15180S	insilico
C1479	R2117	insilico
C1485	E61009S	insilico
C1936	S10209	insilico
C2043	C425	insilico
C226	S10674	insilico
C2269S	R2657	insilico
C259	S1974S	insilico
C2807	C425	insilico
C3096S	E4252S	insilico
C326	C259	insilico
C326	C875	insilico
C425	C1677	insilico
C52178S	C259	insilico
C52178S	C53053S	insilico
C52178S	S1974S	insilico
C53053S	C259	insilico
C6	E3752S	insilico
C60012S	S10020	insilico
C728	E50187S	insilico
C80	E30331S	insilico
C875	C326	insilico
C882	S1994	insilico
C929	E50105S	insilico
C975	E30341S	insilico
C985	R1562	insilico
C999	C11001S	insilico
E1135S	S12594	insilico
E30341S	C975	insilico
E383S	E4392S	insilico
E4252S	C3096S	insilico
E4392S	E383S	insilico
E60261	R2479	insilico
E60561S	G45	insilico
G193	S1756	insilico
G200	Y4073L	insilico
G359	C668	insilico
G45	S1072	insilico
R	R	insilico
R120	R1891	insilico
R1759	S20653S	insilico
R1792	C60012S	insilico
R1792	S10020	insilico
R1976S	R2723	insilico
R2167	R2280	insilico
R2249	C67	insilico
R2280	R2167	insilico
R2479	E60261	insilico
R2723	R1976S	insilico
R2877S	C12845S	insilico
R3031S	C614	insilico
R3309	S13187	insilico
R3786	S11506	insilico
R810	C259	insilico
RG139	G39	insilico
RG752	G2155	insilico
RZ1000	C269	insilico
RZ103	C920	insilico
RZ18	RZ22	insilico
RZ204	C92	insilico
RZ204	RZ273	insilico
RZ206	R79	insilico
RZ213	C1470	insilico
RZ25	RZ18	insilico
RZ25	RZ22	insilico
RZ273	C92	insilico
RZ28	C502	insilico
RZ291	C1239	insilico
RZ291	S15180S	insilico
RZ296	S20487S	insilico
RZ328	C1468	insilico
RZ390	S14158	insilico
RZ395	C50171S	insilico
RZ424	C63245	insilico
RZ424	C950	insilico
RZ450	E51266S	insilico
RZ476	R394	insilico
RZ488	R2401	insilico
RZ508	R1167	insilico
RZ551	C932	insilico
RZ556	R476	insilico
RZ562	R544	insilico
RZ589	C1468	insilico
RZ589	RZ328	insilico
RZ597	C277	insilico
RZ649	R2657	insilico
RZ67	C128	insilico
RZ740	R577	insilico
RZ783	C919	insilico
RZ86	R896	insilico
RZ886	S11250	insilico
RZ900	R120	insilico
RZ900	R1891	insilico
RZ909	R2657	insilico
RZ961	R26	insilico
RZ992	RZ717	insilico
S10030	E50007S	insilico
S10582	S10641	insilico
S10641	S10301	insilico
S11279	S15180S	insilico
S11867	C978	insilico
S1205S	S1979	insilico
S12540	S20567S	insilico
S13078S	S10008	insilico
S13095	E60866S	insilico
S13187	R3309	insilico
S13883	S11387	insilico
S13927	E341S	insilico
S14152	S11222S	insilico
S1563	E3727	insilico
S1571	L375	insilico
S1792	E50612S	insilico
S5424S	S10030	insilico
S962	R2403	insilico
YAC334B7(adh1)	YAC334B7(adh1)	name-based
rgp c496	p-rgp c496	name-based
rgp c496	p-rgp c496	name-based
umc1726	p-umc1726	name-based
phi095	p-phi095	name-based
siU14599_ov	siU14599_ov	name-based
bnl6.32	p-bnl6.32	name-based
bnl6.32	p-bnl6.32	name-based
CL1721_1_ov	CL1721_1_ov	name-based
CL1721_1_ov	CL1721_1_ov	name-based
CL1721_1_ov	CL1721_1_ov	name-based
bcd1072	p-bcd1072	name-based
bcd1072	p-bcd1072	name-based
bcd207	p-bcd207	name-based
bcd207	p-bcd207	name-based
bcd386	p-bcd386	name-based
bcd386	p-bcd386	name-based
pBF266	p-pBF266	name-based
pBF266	p-pBF266	name-based
bnl7.08	p-bnl7.08	name-based
bnl7.08	p-bnl7.08	name-based
cdo1081	p-cdo1081	name-based
cdo1081	p-cdo1081	name-based
cdo122	p-cdo122	name-based
cdo122	p-cdo122	name-based
cdo1387	p-cdo1387	name-based
cdo1387	p-cdo1387	name-based
cdo20	p-cdo20	name-based
cdo20	p-cdo20	name-based
cdo344	p-cdo344	name-based
cdo344	p-cdo344	name-based
cdo38	p-cdo38	name-based
cdo38	p-cdo38	name-based
cdo457	p-cdo457	name-based
cdo457	p-cdo457	name-based
cdo475	p-cdo475	name-based
cdo475	p-cdo475	name-based
cdo595	p-cdo595	name-based
cdo595	p-cdo595	name-based
cdo795	p-cdo795	name-based
cdo795	p-cdo795	name-based
cdo938	p-cdo938	name-based
cdo938	p-cdo938	name-based
cdo98	p-cdo98	name-based
cdo98	p-cdo98	name-based
5C06F03	p-5C06F03	name-based
2C01H07	p-2C01H07	name-based
umc128	p-umc128	name-based
umc128	p-umc128	name-based
umc1013	p-umc1013	name-based
umc157	p-umc157	name-based
umc157	p-umc157	name-based
2C02B04	p-2C02B04	name-based
ZmCHI1	p-ZmCHI1	name-based
umc107	p-umc107	name-based
umc107	p-umc107	name-based
CL1739_1_ov	CL1739_1_ov	name-based
CL1739_1_ov	CL1739_1_ov	name-based
CL1739_1_ov	CL1739_1_ov	name-based
CL1739_1_ov	CL1739_1_ov	name-based
CL1739_1_ov	CL1739_1_ov	name-based
H2	p-H2	name-based
csu77	p-csu77	name-based
csu198	p-csu198	name-based
phi001	p-phi001	name-based
tub1	p-tub1	name-based
phi056	p-phi056	name-based
phi097	p-phi097	name-based
umc1064	p-umc1064	name-based
pOR1	p-pOR1	name-based
rz296	p-rz296	name-based
rz296	p-rz296	name-based
