map_name	feature_name	feature_start	feature_stop	feature_alt_name	feature_type
8	cent8	0	56	p-MCS1a	Centromere
3	bnl8.15	0		p-bnl8.15	Marker
1	csu804b(dnp)	0		p-csu804	Marker
5	csu1087	0		p-csu1087	Marker
2	bnl8.45a	0		p-bnl8.45	Marker
8	npi220a	0		p-G10F-01	Marker
2	csu1192(apx)	0		p-csu1192	Marker
5	csu277	0		p-csu277	Marker
3	umc32a	0		p-phi049	Marker
7	umc7Stelo	0		p-pMTY9ER	Marker
2	umc2Stelo-2	0		p-pMTY9ER	Marker
10	csu306(fer)	0		p-csu626	Marker
2	npi239	0		p-npi239	Marker
9	agrr118b	0		p-agrr118	Marker
4	agrr115	0		p-agrr115	Marker
8	csu891(rpL30)	0		p-csu891	Marker
10	bnl10.17a	0		p-bnl10.17	Marker
5	csu527(crm)	0		p-csu527	Marker
6	rz143a(gpc)	0		p-rz143	Marker
2	umc2Stelo-1	0		p-pMTY9ER	Marker
8	csu597b(dah)	0.9		p-csu597	Marker
2	csu326	0.9		p-csu326	Marker
4	mtl1	0.9		p-umc1008	Marker
2	bnl10.38b	1		p-bnl10.38	Marker
3	umc3Stelo	1.1		p-pMTY9ER	Marker
8	npi114a	1.2		p-G7A-10	Marker
8	rz995a(fbp)	1.4		p-rz995	Marker
8	csu312	1.7		p-csu312	Marker
4	rca1	1.9		p-csu901	Marker
2	agrc805	1.9		p-agrc805	Marker
7	csu582	2.1		p-csu582	Marker
4	umc4Stelo	2.2		p-pMTY9ER	Marker
4	csu221	3.1		p-csu221	Marker
8	rz382b	3.9		p-rz382	Marker
8	csu1076	3.9		p-csu1076	Marker
8	csu368(phr)	3.9		p-csu368	Marker
8	csu319	3.9		p-csu319	Marker
4	msf1	4.2		p-csu363	Marker
5	cdo457a	5.1		p-cdo457	Marker
5	bnl8.33	5.1		p-bnl8.33	Marker
3	asg64	6.1		p-asg64	Marker
1	rgpc654	6.4		p-rgp c654	Marker
4	umc123	6.8		p-nc135	Marker
10	bnl3.04	7.2		p-B1A07	Marker
10	php20075a(gast)	7.2		p-php20075	Marker
