map_name	map_start	map_stop	feature_name	feature_start	feature_stop	feature_type	
ctg1	1.00	161.00	RM499	93.00		Marker	
ctg1	1.00	161.00	C970	140.00		Marker	
ctg1	1.00	161.00	RM495	46.00		Marker	
ctg1	1.00	161.00	C50102	122.00		Marker	
ctg1	1.00	161.00	R687	22.00		Marker	
ctg1	1.00	161.00	C602	20.00		Marker	
ctg1	1.00	161.00	C161	46.00		Marker	
ctg1	1.00	161.00	S1442	131.00		Marker	
ctg1	1.00	161.00	C51033	140.00		Marker	
ctg1	1.00	161.00	AP003727	1.00	43.00	Clone	
ctg1	1.00	161.00	AP003610	3.00	37.00	Clone	
ctg1	1.00	161.00	AP003219	123.00	157.00	Clone	
ctg1	1.00	161.00	AP002882	108.00	136.00	Clone	
ctg1	1.00	161.00	AP002863	52.00	98.00	Clone	
ctg1	1.00	161.00	AP002845	74.00	112.00	Clone	
ctg1	1.00	161.00	AP002818	33.00	59.00	Clone	
ctg10	1.00	228.00	L1087	161.00		Marker	
ctg10	1.00	228.00	RM595	25.00		Marker	
ctg10	1.00	228.00	RM594	25.00		Marker	
ctg10	1.00	228.00	RM329	126.00		Marker	
ctg10	1.00	228.00	C178	126.00		Marker	
ctg10	1.00	228.00	RM513	208.00		Marker	
ctg10	1.00	228.00	C12614S	190.00		Marker	
ctg10	1.00	228.00	R596	32.00		Marker	
ctg10	1.00	228.00	RM449	25.00		Marker	
ctg10	1.00	228.00	E3004S	22.00		Marker	
ctg10	1.00	228.00	R2630	22.00		Marker	
ctg10	1.00	228.00	AP004359	139.00	161.00	Clone	
ctg10	1.00	228.00	AP003854	193.00	223.00	Clone	
ctg10	1.00	228.00	AP003853	175.00	205.00	Clone	
ctg10	1.00	228.00	AP003536	144.00	178.00	Clone	
ctg10	1.00	228.00	AP003281	6.00	38.00	Clone	
ctg10	1.00	228.00	AP003236	8.00	42.00	Clone	
ctg10	1.00	228.00	AP003204	80.00	120.00	Clone	
ctg10	1.00	228.00	AP003199	61.00	87.00	Clone	
ctg10	1.00	228.00	AP003198	50.00	80.00	Clone	
ctg10	1.00	228.00	AP002968	113.00	139.00	Clone	
ctg10	1.00	228.00	AP002914	28.00	60.00	Clone	
ctg100	3.00	152.00	C1558S	122.00		Marker	
ctg100	3.00	152.00	R374	135.00		Marker	
ctg100	3.00	152.00	R3351	125.50		Marker	
ctg100	3.00	152.00	AL662958	0.00	36.00	Clone	
ctg100	3.00	152.00	AL662976	105.00	139.00	Clone	
ctg100	3.00	152.00	AL662984	120.00	150.00	Clone	
ctg100	3.00	152.00	AL663010	57.00	83.00	Clone	
ctg100	3.00	152.00	AL663019	73.00	105.00	Clone	
ctg101	1.00	138.00	R2370	83.00		Marker	
ctg101	1.00	138.00	L1091	41.00		Marker	
ctg101	1.00	138.00	G282	65.00		Marker	
ctg101	1.00	138.00	RM241	65.00		Marker	
ctg101	1.00	138.00	AL606459	26.00	56.00	Clone	
ctg101	1.00	138.00	AL606587	52.00	78.00	Clone	
ctg101	1.00	138.00	AL606695	74.00	104.00	Clone	
ctg101	1.00	138.00	AL606728	97.00	121.00	Clone	
ctg101	1.00	138.00	AL662998	6.00	28.00	Clone	
ctg102	2.00	89.00	C597	63.00		Marker	
ctg102	2.00	89.00	RM507	29.00		Marker	
ctg102	2.00	89.00	C263	74.00		Marker	
ctg102	2.00	89.00	RM153	53.00		Marker	
ctg102	2.00	89.00	AC073405	9.00	49.00	Clone	
ctg102	2.00	89.00	AC084818	35.00	71.00	Clone	
ctg102	2.00	89.00	AC104285	62.00	86.00	Clone	
ctg103	2.00	234.00	S12936	62.00		Marker	
ctg103	2.00	234.00	S2137	152.50		Marker	
ctg103	2.00	234.00	C2067	97.00		Marker	
ctg103	2.00	234.00	S2309	152.50		Marker	
ctg103	2.00	234.00	E60570	199.50		Marker	
ctg103	2.00	234.00	G396	196.50		Marker	
ctg103	2.00	234.00	S14158	28.00		Marker	
ctg103	2.00	234.00	C568	22.50		Marker	
ctg103	2.00	234.00	RZ390	28.00		Marker	
ctg103	2.00	234.00	R1559	216.00		Marker	
ctg103	2.00	234.00	S782	62.00		Marker	
ctg103	2.00	234.00	S1548	87.00		Marker	
ctg103	2.00	234.00	R830	165.00		Marker	
ctg103	2.00	234.00	RM159	28.00		Marker	
ctg103	2.00	234.00	S2136	199.50		Marker	
ctg103	2.00	234.00	AC079021	191.00	221.00	Clone	
ctg103	2.00	234.00	AC079022	13.00	43.00	Clone	
ctg103	2.00	234.00	AC079356	44.00	80.00	Clone	
ctg103	2.00	234.00	AC093088	167.00	187.00	Clone	
ctg103	2.00	234.00	AC093089	185.00	203.00	Clone	
ctg103	2.00	234.00	AC093921	83.00	111.00	Clone	
ctg103	2.00	234.00	AP001111	149.00	181.00	Clone	
ctg104	6.00	518.00	C119	454.00		Marker	
ctg104	6.00	518.00	R2213S	139.00		Marker	
ctg104	6.00	518.00	C326	43.00		Marker	
ctg104	6.00	518.00	RM405	411.00		Marker	
ctg104	6.00	518.00	E1455S	62.00		Marker	
ctg104	6.00	518.00	RZ556	139.00		Marker	
ctg104	6.00	518.00	R1674	139.00		Marker	
ctg104	6.00	518.00	R708	177.50		Marker	
ctg104	6.00	518.00	R2693S	139.00		Marker	
ctg104	6.00	518.00	RG313	334.50		Marker	
ctg104	6.00	518.00	R1838	431.00		Marker	
ctg104	6.00	518.00	S12919S	139.00		Marker	
ctg104	6.00	518.00	S13147	155.00		Marker	
ctg104	6.00	518.00	R476	139.00		Marker	
ctg104	6.00	518.00	E4433S	493.00		Marker	
ctg104	6.00	518.00	S12447	486.50		Marker	
ctg104	6.00	518.00	RM548	340.00		Marker	
ctg104	6.00	518.00	G71	384.00		Marker	
ctg104	6.00	518.00	RM592	340.00		Marker	
ctg104	6.00	518.00	RM593	344.00		Marker	
ctg104	6.00	518.00	RZ244	481.50		Marker	
ctg104	6.00	518.00	C859	500.00		Marker	
ctg104	6.00	518.00	E60961	206.00		Marker	
ctg104	6.00	518.00	R3332	151.50		Marker	
ctg104	6.00	518.00	AC016779	327.00	361.00	Clone	
ctg104	6.00	518.00	AC079357	79.00	111.00	Clone	
ctg104	6.00	518.00	AC084218	352.00	388.00	Clone	
ctg104	6.00	518.00	AC087425	435.00	473.00	Clone	
ctg104	6.00	518.00	AC087551	415.00	449.00	Clone	
ctg104	6.00	518.00	AC087552	119.00	159.00	Clone	
ctg104	6.00	518.00	AC093490	146.00	164.00	Clone	
ctg104	6.00	518.00	AC093492	396.00	426.00	Clone	
ctg104	6.00	518.00	AC093493	374.00	408.00	Clone	
ctg104	6.00	518.00	AC104276	483.00	503.00	Clone	
ctg104	6.00	518.00	AC104277	209.00	239.00	Clone	
ctg104	6.00	518.00	AC104283	256.00	282.00	Clone	
ctg104	6.00	518.00	AC105262	192.00	220.00	Clone	
ctg104	6.00	518.00	AC105772	331.00	349.00	Clone	
ctg105	1.00	185.00	C61983S	145.50		Marker	
ctg105	1.00	185.00	C1255	69.00		Marker	
ctg105	1.00	185.00	C477	127.00		Marker	
ctg105	1.00	185.00	E61210S	114.00		Marker	
ctg105	1.00	185.00	C11804S	133.00		Marker	
ctg105	1.00	185.00	R2232	105.00		Marker	
ctg105	1.00	185.00	S5485S	114.00		Marker	
ctg105	1.00	185.00	S21837S	114.00		Marker	
ctg105	1.00	185.00	AC084817	102.00	126.00	Clone	
ctg106	3.00	256.00	Y1049L	185.00		Marker	
ctg106	3.00	256.00	Y1060R	212.00		Marker	
ctg106	3.00	256.00	E51274S	64.00		Marker	
ctg106	3.00	256.00	R2185	236.50		Marker	
ctg106	3.00	256.00	S10593	137.00		Marker	
ctg106	3.00	256.00	R1888	147.00		Marker	
ctg106	3.00	256.00	AC093489	212.00	236.00	Clone	
ctg106	3.00	256.00	AC093920	176.00	196.00	Clone	
ctg106	3.00	256.00	AC093954	205.00	231.00	Clone	
ctg106	3.00	256.00	AC097174	169.00	201.00	Clone	
ctg107	-2.00	446.00	RZ537	47.50		Marker	
ctg107	-2.00	446.00	C249	295.50		Marker	
ctg108	1.00	116.00	S12928	49.50		Marker	
ctg108	1.00	116.00	C50867S	33.00		Marker	
ctg108	1.00	116.00	R569	18.00		Marker	
ctg108	1.00	116.00	S1873	26.00		Marker	
ctg108	1.00	116.00	S20262S	19.00		Marker	
ctg108	1.00	116.00	AC104705	25.00	41.00	Clone	
ctg109	1.00	165.00	R566	146.00		Marker	
ctg109	1.00	165.00	S14177	78.50		Marker	
ctg109	1.00	165.00	L714	12.50		Marker	
ctg109	1.00	165.00	E922S	139.00		Marker	
ctg109	1.00	165.00	AC098835	106.00	122.00	Clone	
ctg109	1.00	165.00	AC104275	125.00	153.00	Clone	
ctg11	3.00	366.00	C585	299.00		Marker	
ctg11	3.00	366.00	S3382S	167.00		Marker	
ctg11	3.00	366.00	RM466	347.00		Marker	
ctg11	3.00	366.00	R2504	299.00		Marker	
ctg11	3.00	366.00	RZ413	187.00		Marker	
ctg11	3.00	366.00	S10626	347.00		Marker	
ctg11	3.00	366.00	G227	54.00		Marker	
ctg11	3.00	366.00	C316	183.00		Marker	
ctg11	3.00	366.00	G1133	26.00		Marker	
ctg11	3.00	366.00	AP004611	11.00	41.00	Clone	
ctg11	3.00	366.00	AP004222	62.00	94.00	Clone	
ctg11	3.00	366.00	AP003563	44.00	86.00	Clone	
ctg11	3.00	366.00	AP003562	92.00	116.00	Clone	
ctg11	3.00	366.00	AP003435	196.00	234.00	Clone	
ctg11	3.00	366.00	AP003276	18.00	50.00	Clone	
ctg11	3.00	366.00	AP003217	248.00	282.00	Clone	
ctg11	3.00	366.00	AP003213	151.00	183.00	Clone	
ctg11	3.00	366.00	AP003203	331.00	363.00	Clone	
ctg11	3.00	366.00	AP003202	111.00	141.00	Clone	
ctg11	3.00	366.00	AP003144	313.00	341.00	Clone	
ctg11	3.00	366.00	AP003077	176.00	198.00	Clone	
ctg11	3.00	366.00	AP003054	279.00	319.00	Clone	
ctg11	3.00	366.00	AP002970	142.00	176.00	Clone	
ctg11	3.00	366.00	AC091664	97.00	127.00	Clone	
ctg110	-1.00	663.00	S12669S	404.50		Marker	
ctg110	-1.00	663.00	S2351	224.00		Marker	
ctg110	-1.00	663.00	E60570	44.50		Marker	
ctg110	-1.00	663.00	C309	164.00		Marker	
ctg110	-1.00	663.00	S10207	167.50		Marker	
ctg110	-1.00	663.00	AC104270	204.00	244.00	Clone	
ctg110	-1.00	663.00	AC104274	248.00	268.00	Clone	
ctg110	-1.00	663.00	AC105768	83.00	117.00	Clone	
ctg111	4.00	280.00	RZ296	250.00		Marker	
ctg111	4.00	280.00	E10322S	83.00		Marker	
ctg111	4.00	280.00	S20487S	266.50		Marker	
ctg112	1.00	227.00	S861	145.00		Marker	
ctg112	1.00	227.00	R3069	186.00		Marker	
ctg112	1.00	227.00	G260	50.50		Marker	
ctg112	1.00	227.00	R2059	189.00		Marker	
ctg112	1.00	227.00	L363	59.50		Marker	
ctg112	1.00	227.00	AC093953	171.00	201.00	Clone	
ctg112	1.00	227.00	AC093955	141.00	163.00	Clone	
ctg112	1.00	227.00	AC096707	153.00	183.00	Clone	
ctg113	-2.00	328.00	C734	205.50		Marker	
ctg113	-2.00	328.00	S32S	111.50		Marker	
ctg113	-2.00	328.00	AC104706	256.00	278.00	Clone	
ctg113	-2.00	328.00	AC104712	-1.00	25.00	Clone	
ctg113	-2.00	328.00	AC105320	166.00	190.00	Clone	
ctg114	2.00	73.00	S4036S	17.50		Marker	
ctg114	2.00	73.00	C60228S	27.00		Marker	
ctg114	2.00	73.00	AC105261	9.00	41.00	Clone	
ctg115	1.00	109.00	E2801S	76.00		Marker	
ctg115	1.00	109.00	RM598	29.00		Marker	
ctg115	1.00	109.00	AC104272	58.00	94.00	Clone	
ctg115	1.00	109.00	AC104281	10.00	48.00	Clone	
ctg115	1.00	109.00	AC104711	1.00	27.00	Clone	
ctg116	1.00	100.00	S1780	86.50		Marker	
ctg116	1.00	100.00	R3313	59.50		Marker	
ctg116	1.00	100.00	BCD1421	43.00		Marker	
ctg116	1.00	100.00	R1888	22.00		Marker	
ctg117	1.00	132.00	RM146	55.00		Marker	
ctg117	1.00	132.00	R372	74.00		Marker	
ctg117	1.00	132.00	E50919S	103.00		Marker	
ctg117	1.00	132.00	AC104707	88.00	118.00	Clone	
ctg117	1.00	132.00	AC108874	43.00	67.00	Clone	
ctg118	1.00	430.00	S2137	270.00		Marker	
ctg118	1.00	430.00	C63974	154.00		Marker	
ctg118	1.00	430.00	C326	117.50		Marker	
ctg118	1.00	430.00	CDO105	39.50		Marker	
ctg118	1.00	430.00	E11382S	124.50		Marker	
ctg118	1.00	430.00	R2609	414.50		Marker	
ctg118	1.00	430.00	S861	183.00		Marker	
ctg118	1.00	430.00	RG13	107.00		Marker	
ctg118	1.00	430.00	R2289	154.00		Marker	
ctg118	1.00	430.00	R188	136.00		Marker	
ctg118	1.00	430.00	C63486S	320.00		Marker	
ctg118	1.00	430.00	G366	393.00		Marker	
ctg118	1.00	430.00	R1436	15.00		Marker	
ctg118	1.00	430.00	AC104708	269.00	289.00	Clone	
ctg118	1.00	430.00	AC104710	56.00	76.00	Clone	
ctg118	1.00	430.00	AC105258	115.00	129.00	Clone	
ctg118	1.00	430.00	AC105319	290.00	308.00	Clone	
ctg118	1.00	430.00	AC105771	143.00	171.00	Clone	
