map_name	feature_alt_name	feature_start	feature_name	feature_type
1A	Centromere	56.5	Centromere	Centromere
1A	Glu-A1	80.7	Glu-A1	Marker
1A	Pm3	13.8	Pm3	Marker
1A	QPhs.cnl-1A	13.8	QPhs.cnl-1A	Marker
1A	Xabc156-1A	26.4	ABC156	Marker
1A	Xabg373-1A	57.2	ABG373	Marker
1A	Xabg452-1A	57.2	ABG452	Marker
1A	Xbcd98-1A.1	37.1	BCD98	Marker
1A	Xbcd98-1A.2	38.9	BCD98	Marker
1A	Xbcd265-1A	96	BCD265	Marker
1A	Xbcd808-1A.1	82.7	BCD808	Marker
1A	Xbcd808-1A.2	94.9	BCD808	Marker
1A	Xbcd1072-1A	55.7	BCD1072	Marker
1A	Xbcd1407-1A	67	BCD1407	Marker
1A	Xbcd1889-1A	82.7	BCD1889	Marker
1A	Xbcd1930-1A	94.9	BCD1930	Marker
1A	Xcdo98-1A	57.2	CDO98	Marker
1A	Xcdo312-1A	71.5	CDO312	Marker
1A	Xcdo393-1A	160.7	CDO393	Marker
1A	Xcdo426-1A	19	CDO426	Marker
1A	Xcdo473-1A	62.4	CDO473	Marker
1A	Xcdo580-1A	46.3	CDO580	Marker
1A	Xcdo1160-1A	127.1	CDO1160	Marker
1A	Xcmwg706-1A	105	cMWG706	Marker
1A	Xcmwg733-1A	93.8	cMWG733	Marker
1A	XGli1-1A	5.1	Hor1,2	Marker
1A	XGli3-1A	29.2	Hor1,2	Marker
1A	XksuD14-1A.1	0	pTtksuD14	Marker
1A	XksuD14-1A.2	8.5	pTtksuD14	Marker
1A	XksuE3-1A	82.7	pTtksuE3	Marker
1A	XksuE11-1A.1	159.1	pTtksuE11	Marker
1A	XksuE11-1A.2	165	pTtksuE11	Marker
1A	XksuE18-1A	32.1	pTtksuE18	Marker
1A	XksuG9-1A	40.6	pTtksuG9	Marker
1A	XksuH9-1A	107.2	pTtksuH9	Marker
1A	XksuH14-1A	109.3	pTtksuH14	Marker
1A	Xmwg67-1A	44.1	MWG67	Marker
1A	Xmwg632-1A	144.8	MWG632	Marker
1A	Xmwg912-1A	155.6	MWG912	Marker
1A	Xrz244-1A	48.7	RZ244	Marker
1A	Xwg241-1A	164.1	WG241	Marker
1A	Xwg605-1A	57.2	WG605	Marker
1B	Centromere	36.4	Centromere	Centromere
1B	Glu-B1	60.2	Glu-B1	Marker
1B	Nor-B1	34.2	pTa71	Marker
1B	Rf3	16.7	Rf3	Marker
1B	Xabc156-1B	20.9	ABC156	Marker
1B	Xabg373-1B	38.1	ABG373	Marker
1B	Xbcd12-1B	39.2	BCD12	Marker
1B	Xbcd200-1B	36.4	BCD200	Marker
1B	Xbcd304-1B	86.4	BCD304	Marker
