map_name	map_start	map_stop	feature_name	feature_alt_name	feature_start	feature_stop	feature_type
ctg1	1	161	C602	C602	20		Marker
ctg1	1	161	S1442	S1442	131		Marker
ctg1	1	161	AP002818	AP002818	33	59	Clone
ctg1	1	161	AP002845	AP002845	74	112	Clone
ctg1	1	161	AP002863	AP002863	52	98	Clone
ctg1	1	161	AP002882	AP002882	108	136	Clone
ctg1	1	161	AP003219	AP003219	123	157	Clone
ctg1	1	161	AP003610	AP003610	3	37	Clone
ctg1	1	161	AP003727	AP003727	1	43	Clone
ctg10	1	228	R596	R596	32		Marker
ctg10	1	228	AP002914	AP002914	28	60	Clone
ctg10	1	228	AP002968	AP002968	113	139	Clone
ctg10	1	228	AP003198	AP003198	50	80	Clone
ctg10	1	228	AP003199	AP003199	61	87	Clone
ctg10	1	228	AP003204	AP003204	80	120	Clone
ctg10	1	228	AP003236	AP003236	8	42	Clone
ctg10	1	228	AP003281	AP003281	6	38	Clone
ctg10	1	228	AP003536	AP003536	144	178	Clone
ctg10	1	228	AP003853	AP003853	175	205	Clone
ctg10	1	228	AP003854	AP003854	193	223	Clone
ctg10	1	228	AP004359	AP004359	139	161	Clone
ctg100	3	152	XA21	Xa21	96		Marker
ctg100	3	152	R3351	R3351	119		Marker
ctg100	3	152	AL662958	AL662958	0	36	Clone
ctg100	3	152	AL662976	AL662976	105	139	Clone
ctg100	3	152	AL662984	AL662984	120	150	Clone
ctg100	3	152	AL663010	AL663010	57	83	Clone
ctg100	3	152	AL663019	AL663019	73	105	Clone
ctg101	1	138	R2783	R2783	71.5		Marker
ctg101	1	138	R2370	R2370	83		Marker
ctg101	1	138	AL606459	AL606459	26	56	Clone
ctg101	1	138	AL606587	AL606587	52	78	Clone
ctg101	1	138	AL606695	AL606695	74	104	Clone
ctg101	1	138	AL606728	AL606728	97	121	Clone
ctg101	1	138	AL662998	AL662998	6	28	Clone
ctg102	2	89	C597	C597	60.5		Marker
ctg102	2	89	AC073405	AC073405	9	49	Clone
ctg102	2	89	AC084818	AC084818	35	71	Clone
