map_name	map_start	map_stop	feature_name	feature_alt_name	feature_start	feature_stop	feature_type
ctg1	5	119	tub1	tub1	62		Marker
ctg100	1	187	umc254	umc254	141.5		Marker
ctg1008	3	144	asg7	asg7	111.5		Marker
ctg102	3	37	umc168	UMC168	26		Marker
ctg1089	8	131	umc156	umc156	116.5		Marker
ctg109	1	137	npi268	npi268	71		Marker
ctg110	3	107	agrr21	agrr21	69.5		Marker
ctg1103	1	82	agrr115	agrr115	30		Marker
ctg1105	1	100	csu164	csu164	56		Marker
ctg111	2	161	umc109	umc109	136.5		Marker
ctg112	1	90	csu54	CSU54	18		Marker
ctg1129	14	88	umc52	umc52	44.5		Marker
ctg115	6	156	umc254	umc254	24.5		Marker
ctg1165	1	135	csu3	CSU3	106		Marker
ctg1177	-1	165	umc59	umc59	102		Marker
ctg1216	5	134	umc131	umc131	26.5		Marker
ctg123	1	103	asg12	asg12	61		Marker
ctg124	2	33	asg12	asg12	16.5		Marker
ctg1279	3	42	umc53	umc53	28		Marker
ctg128	2	139	umc130	UMC130	29		Marker
ctg13	2	69	umc107	umc107	34.5		Marker
ctg130	1	48	umc259	umc259	13		Marker
ctg1332	1	54	umc90	umc90	12		Marker
ctg1336	4	77	umc76	umc76	16.5		Marker
ctg1336	4	77	csu93	csu93	35		Marker
ctg1367	1	51	umc132	UMC132	18		Marker
ctg1387	1	147	asg7	asg7	72.5		Marker
ctg1387	1	147	asg8	asg8	73.5		Marker
ctg144	2	51	csu31	CSU31	35.5		Marker
ctg1440	3	155	asg49	asg49	135.5		Marker
ctg145	1	377	umc52	umc52	166		Marker
ctg145	1	377	umc53	umc53	338		Marker
ctg1458	2	50	umc63	umc63	19.5		Marker
ctg1474	2	200	umc128	umc128	87		Marker
ctg1479	1	93	csu3	CSU3	54.5		Marker
ctg1484	5	58	umc52	umc52	41.5		Marker
ctg15	2	65	umc161	umc161	13		Marker
ctg1524	1	104	umc131	umc131	48.5		Marker
ctg1524	1	104	umc5	UMC5	64.5		Marker
ctg1529	1	73	csu54	CSU54	47.5		Marker
ctg155	4	193	umc107	umc107	161		Marker
ctg1553	2	100	umc53	umc53	17.5		Marker
ctg1556	3	114	umc254	umc254	34		Marker
ctg1559	2	167	umc76	umc76	11.5		Marker
ctg1581	4	89	umc5	UMC5	42.5		Marker
ctg1594	2	150	umc44	UMC44	23.5		Marker
ctg1599	4	154	umc53	umc53	114		Marker
ctg1621	3	52	umc52	umc52	22		Marker
ctg1624	2	187	csu54	CSU54	172.5		Marker
ctg1666	3	90	umc5	UMC5	28		Marker
ctg1679	3	84	umc52	umc52	28.5		Marker
ctg170	4	346	umc63	umc63	17		Marker
ctg171	3	235	asg62	asg62	101		Marker
ctg1714	1	81	npi220	NPI220	42		Marker
ctg1757	-3	57	umc107	umc107	44.5		Marker
ctg181	1	50	umc254	umc254	18		Marker
ctg1819	1	83	umc59	umc59	60		Marker
ctg1827	1	102	asg7	asg7	73		Marker
ctg1829	1	73	umc132	UMC132	21.5		Marker
ctg1848	2	88	umc53	umc53	39		Marker
ctg1854	8	149	csu3	CSU3	63.5		Marker
ctg187	3	133	umc53	umc53	86		Marker
ctg1887	1	77	asg7	asg7	47		Marker
ctg1934	6	127	agrr37	agrr37	21		Marker
ctg1999	2	48	csu164	csu164	13.5		Marker
ctg2017	10	85	csu31	CSU31	31		Marker
ctg2023	2	105	umc254	umc254	89		Marker
ctg2023	2	105	umc53	umc53	19.5		Marker
ctg2046	1	33	csu31	CSU31	11		Marker
ctg206	2	64	asg48	asg48	46		Marker
ctg2062	1	149	umc59	umc59	59		Marker
ctg2085	5	52	umc59	umc59	22		Marker
ctg21	1	240	umc259	umc259	87		Marker
ctg2153	1	121	umc66	umc66	17.5		Marker
ctg2166	2	186	umc59	umc59	135		Marker
ctg2166	2	186	umc63	umc63	104.5		Marker
ctg2166	2	186	csu3	CSU3	104.5		Marker
ctg2171	5	108	asg69	asg69	66.5		Marker
ctg2174	1	46	npi220	NPI220	16		Marker
ctg2185	1	184	asg12	asg12	140		Marker
ctg219	5	244	umc53	umc53	234.5		Marker
ctg2200	2	88	umc53	umc53	43.5		Marker
ctg2220	4	224	umc161	umc161	139.5		Marker
ctg2254	1	74	umc254	umc254	51		Marker
ctg2296	1	74	php20608	php20608	49.5		Marker
ctg2296	1	74	asg8	asg8	41		Marker
ctg2299	3	130	umc90	umc90	109		Marker
ctg2310	5	53	asg48	asg48	35.5		Marker
ctg2322	5	139	csu54	CSU54	47		Marker
ctg233	1	159	csu147	csu147	66.5		Marker
ctg2342	1	130	csu3	CSU3	101.5		Marker
ctg2345	1	75	umc66	umc66	33.5		Marker
ctg2345	1	75	csu3	CSU3	33.5		Marker
ctg2362	2	139	asg7	asg7	39		Marker
ctg2362	2	139	asg8	asg8	39		Marker
ctg2374	1	141	umc255	umc255	65.5		Marker
ctg2385	6	165	csu164	csu164	138.5		Marker
ctg2407	4	67	umc102	umc102	43.5		Marker
ctg2415	1	105	umc128	umc128	79		Marker
ctg2433	6	151	umc52	umc52	99.5		Marker
ctg2442	1	61	csu25	CSU25	18.5		Marker
ctg245	4	255	csu164	csu164	183.5		Marker
ctg2492	3	118	umc53	umc53	99		Marker
ctg25	1	124	umc131	umc131	42		Marker
ctg2513	1	34	umc168	UMC168	19		Marker
ctg2527	1	60	umc76	umc76	22.5		Marker
ctg2536	2	129	csu164	csu164	115		Marker
ctg2597	10	106	umc52	umc52	43.5		Marker
ctg2650	1	68	npi414	npi414	29.5		Marker
ctg2676	1	31	umc255	umc255	13.5		Marker
ctg2695	2	132	umc52	umc52	119.5		Marker
ctg2829	11	66	npi220	NPI220	32		Marker
ctg286	2	126	umc107	umc107	113		Marker
ctg288	2	358	asg62	asg62	341.5		Marker
ctg2908	1	76	umc131	umc131	53		Marker
ctg2922	1	69	csu31	CSU31	25.5		Marker
ctg2923	1	54	umc157	UMC157	25		Marker
ctg2944	1	28	umc5	UMC5	14.5		Marker
ctg299	3	161	tub4	tub4	63.5		Marker
ctg3	1	237	asg48	asg48	99		Marker
ctg30	1	118	asg8	asg8	90		Marker
ctg30	1	118	asg20	asg20	90		Marker
ctg3002	3	211	umc52	umc52	140.5		Marker
ctg3014	5	110	agrr37	agrr37	46		Marker
ctg3086	5	74	umc52	umc52	48.5		Marker
ctg313	1	147	csu54	CSU54	51.5		Marker
ctg3178	1	79	umc44	UMC44	16		Marker
ctg32	5	136	umc32	umc32	38		Marker
ctg3225	6	168	csu31	CSU31	68.5		Marker
ctg33	1	197	PCO101971	PCO101971	91		Marker
